# y+ ()       
# Time        	patch         	min           	max           	average       
2000          	fixedWalls-bottom	7.589841e-02	7.594605e-02	7.592223e-02
2000          	fixedWalls-top	7.590072e-02	7.594836e-02	7.592454e-02
