# y+ ()       
# Time        	patch         	min           	max           	average       
30            	atmosphere	3.985353e-01	1.959168e+00	6.724512e-01
30            	walls	4.265266e-02	2.530967e-01	6.964533e-02
30            	cylinder	3.447128e-02	1.391190e-01	8.267428e-02
31            	atmosphere	4.099166e-01	1.959192e+00	6.847497e-01
31            	walls	3.658406e-02	2.530961e-01	6.680846e-02
31            	cylinder	2.915568e-02	1.441565e-01	8.171606e-02
32            	atmosphere	3.993271e-01	1.959168e+00	6.767249e-01
32            	walls	4.236088e-02	2.530969e-01	6.959950e-02
32            	cylinder	2.897904e-02	1.429269e-01	8.727473e-02
33            	atmosphere	4.054326e-01	1.959200e+00	6.850789e-01
33            	walls	3.677211e-02	2.530944e-01	6.704820e-02
33            	cylinder	3.051972e-02	1.343671e-01	8.234282e-02
34            	atmosphere	3.925797e-01	1.959175e+00	6.736486e-01
34            	walls	4.289467e-02	2.530950e-01	6.999150e-02
34            	cylinder	3.181039e-02	1.282432e-01	8.069822e-02
35            	atmosphere	4.030152e-01	1.959198e+00	6.827294e-01
35            	walls	3.693296e-02	2.530942e-01	6.734488e-02
35            	cylinder	3.656080e-02	1.297471e-01	8.415087e-02
36            	atmosphere	3.970473e-01	1.959168e+00	6.755263e-01
36            	walls	4.249394e-02	2.530967e-01	6.984465e-02
36            	cylinder	3.491587e-02	1.399282e-01	8.292876e-02
37            	atmosphere	4.087148e-01	1.959191e+00	6.864299e-01
37            	walls	3.644222e-02	2.530961e-01	6.692248e-02
37            	cylinder	2.858130e-02	1.450365e-01	8.203988e-02
38            	atmosphere	3.981459e-01	1.959168e+00	6.773663e-01
38            	walls	4.227460e-02	2.530969e-01	6.959453e-02
38            	cylinder	2.959612e-02	1.434502e-01	8.778227e-02
39            	atmosphere	4.043932e-01	1.959200e+00	6.847859e-01
39            	walls	3.668316e-02	2.530943e-01	6.700349e-02
39            	cylinder	2.982993e-02	1.344293e-01	8.229248e-02
40            	atmosphere	3.917073e-01	1.959175e+00	6.730661e-01
40            	walls	4.283715e-02	2.530949e-01	6.991987e-02
40            	cylinder	3.161456e-02	1.282271e-01	8.088384e-02
41            	atmosphere	4.024755e-01	1.959198e+00	6.821471e-01
41            	walls	3.685937e-02	2.530942e-01	6.726560e-02
41            	cylinder	3.685425e-02	1.300172e-01	8.444347e-02
42            	atmosphere	3.966595e-01	1.959167e+00	6.749648e-01
42            	walls	4.243719e-02	2.530967e-01	6.975671e-02
42            	cylinder	3.443074e-02	1.403764e-01	8.285688e-02
43            	atmosphere	4.083394e-01	1.959191e+00	6.858752e-01
43            	walls	3.639831e-02	2.530961e-01	6.683242e-02
43            	cylinder	2.835409e-02	1.453158e-01	8.224118e-02
44            	atmosphere	3.977211e-01	1.959168e+00	6.767615e-01
44            	walls	4.225712e-02	2.530968e-01	6.952472e-02
44            	cylinder	2.976569e-02	1.434610e-01	8.797257e-02
45            	atmosphere	4.039673e-01	1.959200e+00	6.841293e-01
45            	walls	3.666585e-02	2.530942e-01	6.693481e-02
45            	cylinder	2.980311e-02	1.342172e-01	8.207555e-02
46            	atmosphere	3.914364e-01	1.959175e+00	6.724390e-01
46            	walls	4.281574e-02	2.530949e-01	6.985286e-02
46            	cylinder	3.155703e-02	1.281590e-01	8.097826e-02
47            	atmosphere	4.023932e-01	1.959198e+00	6.816455e-01
47            	walls	3.683483e-02	2.530942e-01	6.719400e-02
47            	cylinder	3.689890e-02	1.302901e-01	8.457722e-02
48            	atmosphere	3.966334e-01	1.959167e+00	6.745199e-01
48            	walls	4.240824e-02	2.530968e-01	6.968337e-02
48            	cylinder	3.370050e-02	1.407296e-01	8.270596e-02
49            	atmosphere	4.082389e-01	1.959191e+00	6.854238e-01
49            	walls	3.638722e-02	2.530961e-01	6.676356e-02
49            	cylinder	2.823494e-02	1.454232e-01	8.241129e-02
50            	atmosphere	3.975278e-01	1.959168e+00	6.762506e-01
50            	walls	4.226179e-02	2.530968e-01	6.947359e-02
50            	cylinder	2.978057e-02	1.433085e-01	8.805360e-02
51            	atmosphere	4.037447e-01	1.959200e+00	6.836008e-01
51            	walls	3.666663e-02	2.530942e-01	6.688827e-02
51            	cylinder	2.998499e-02	1.339254e-01	8.182532e-02
52            	atmosphere	3.913401e-01	1.959175e+00	6.719872e-01
52            	walls	4.280929e-02	2.530949e-01	6.980745e-02
52            	cylinder	3.157497e-02	1.280809e-01	8.105320e-02
53            	atmosphere	4.024572e-01	1.959197e+00	6.813424e-01
53            	walls	3.681974e-02	2.530942e-01	6.714590e-02
53            	cylinder	3.687982e-02	1.305645e-01	8.465564e-02
54            	atmosphere	3.967130e-01	1.959167e+00	6.742798e-01
54            	walls	4.239088e-02	2.530968e-01	6.963621e-02
54            	cylinder	3.293913e-02	1.410496e-01	8.254288e-02
55            	atmosphere	4.082206e-01	1.959191e+00	6.851850e-01
55            	walls	3.638281e-02	2.530961e-01	6.672295e-02
55            	cylinder	2.814886e-02	1.454850e-01	8.257229e-02
56            	atmosphere	3.973982e-01	1.959168e+00	6.759558e-01
56            	walls	4.227430e-02	2.530967e-01	6.945077e-02
56            	cylinder	2.974735e-02	1.431124e-01	8.809209e-02
57            	atmosphere	4.035826e-01	1.959200e+00	6.832896e-01
57            	walls	3.667259e-02	2.530941e-01	6.686902e-02
57            	cylinder	3.023312e-02	1.336186e-01	8.158271e-02
58            	atmosphere	3.912956e-01	1.959175e+00	6.717515e-01
58            	walls	4.280712e-02	2.530949e-01	6.978634e-02
58            	cylinder	3.163929e-02	1.280073e-01	8.113160e-02
59            	atmosphere	4.025618e-01	1.959197e+00	6.812315e-01
59            	walls	3.681051e-02	2.530943e-01	6.712047e-02
59            	cylinder	3.680090e-02	1.308451e-01	8.469816e-02
60            	atmosphere	3.968169e-01	1.959167e+00	6.742197e-01
60            	walls	4.237435e-02	2.530968e-01	6.960969e-02
60            	cylinder	3.221626e-02	1.413545e-01	8.238606e-02
61            	atmosphere	4.082234e-01	1.959191e+00	6.851009e-01
61            	walls	3.638261e-02	2.530961e-01	6.670270e-02
61            	cylinder	2.810042e-02	1.455161e-01	8.273368e-02
62            	atmosphere	3.972822e-01	1.959168e+00	6.758032e-01
62            	walls	4.228945e-02	2.530967e-01	6.944512e-02
62            	cylinder	2.969141e-02	1.428998e-01	8.810300e-02
63            	atmosphere	4.034411e-01	1.959200e+00	6.831072e-01
63            	walls	3.667929e-02	2.530941e-01	6.686529e-02
63            	cylinder	3.050297e-02	1.333146e-01	8.135769e-02
64            	atmosphere	3.912678e-01	1.959175e+00	6.716377e-01
64            	walls	4.280687e-02	2.530949e-01	6.977858e-02
64            	cylinder	3.174596e-02	1.279533e-01	8.122371e-02
65            	atmosphere	4.026788e-01	1.959197e+00	6.812238e-01
65            	walls	3.679990e-02	2.530943e-01	6.710658e-02
65            	cylinder	3.669013e-02	1.311315e-01	8.471700e-02
66            	atmosphere	3.969229e-01	1.959167e+00	6.742453e-01
66            	walls	4.236043e-02	2.530969e-01	6.959372e-02
66            	cylinder	3.152831e-02	1.416384e-01	8.223721e-02
67            	atmosphere	4.082276e-01	1.959191e+00	6.850870e-01
67            	walls	3.638214e-02	2.530961e-01	6.669216e-02
67            	cylinder	2.807026e-02	1.455260e-01	8.289719e-02
68            	atmosphere	3.971682e-01	1.959169e+00	6.757153e-01
68            	walls	4.230366e-02	2.530967e-01	6.944808e-02
68            	cylinder	2.960031e-02	1.426701e-01	8.808943e-02
69            	atmosphere	4.033088e-01	1.959200e+00	6.829781e-01
69            	walls	3.668975e-02	2.530941e-01	6.686901e-02
69            	cylinder	3.078122e-02	1.330000e-01	8.114657e-02
70            	atmosphere	3.912549e-01	1.959175e+00	6.715765e-01
70            	walls	4.280485e-02	2.530949e-01	6.977666e-02
70            	cylinder	3.187723e-02	1.279024e-01	8.133463e-02
71            	atmosphere	4.028021e-01	1.959197e+00	6.812570e-01
71            	walls	3.679088e-02	2.530944e-01	6.709814e-02
71            	cylinder	3.657754e-02	1.314234e-01	8.472407e-02
72            	atmosphere	3.970313e-01	1.959167e+00	6.743054e-01
72            	walls	4.234710e-02	2.530969e-01	6.958173e-02
72            	cylinder	3.089185e-02	1.419195e-01	8.209702e-02
73            	atmosphere	4.082331e-01	1.959191e+00	6.851003e-01
73            	walls	3.638263e-02	2.530961e-01	6.668602e-02
73            	cylinder	2.806154e-02	1.455256e-01	8.306600e-02
74            	atmosphere	3.970566e-01	1.959169e+00	6.756468e-01
74            	walls	4.231930e-02	2.530966e-01	6.945377e-02
74            	cylinder	2.949810e-02	1.424321e-01	8.806085e-02
75            	atmosphere	4.031793e-01	1.959200e+00	6.828702e-01
75            	walls	3.669840e-02	2.530940e-01	6.687581e-02
75            	cylinder	3.109973e-02	1.326986e-01	8.095308e-02
76            	atmosphere	3.912517e-01	1.959175e+00	6.715332e-01
76            	walls	4.280430e-02	2.530949e-01	6.977685e-02
76            	cylinder	3.204761e-02	1.278759e-01	8.146469e-02
77            	atmosphere	4.029272e-01	1.959197e+00	6.813084e-01
77            	walls	3.677991e-02	2.530944e-01	6.709119e-02
77            	cylinder	3.644047e-02	1.317278e-01	8.472466e-02
78            	atmosphere	3.971404e-01	1.959167e+00	6.743742e-01
78            	walls	4.233518e-02	2.530969e-01	6.957147e-02
78            	cylinder	3.033877e-02	1.421833e-01	8.196414e-02
79            	atmosphere	4.082332e-01	1.959192e+00	6.851200e-01
79            	walls	3.638337e-02	2.530961e-01	6.668118e-02
79            	cylinder	2.806583e-02	1.455198e-01	8.324900e-02
80            	atmosphere	3.969460e-01	1.959169e+00	6.755838e-01
80            	walls	4.233498e-02	2.530966e-01	6.946059e-02
80            	cylinder	2.938770e-02	1.421864e-01	8.801744e-02
81            	atmosphere	4.030506e-01	1.959200e+00	6.827663e-01
81            	walls	3.670806e-02	2.530940e-01	6.688378e-02
81            	cylinder	3.142559e-02	1.323992e-01	8.077847e-02
82            	atmosphere	3.912512e-01	1.959175e+00	6.714988e-01
82            	walls	4.280275e-02	2.530949e-01	6.977771e-02
82            	cylinder	3.223628e-02	1.278609e-01	8.160305e-02
83            	atmosphere	4.030605e-01	1.959197e+00	6.813683e-01
83            	walls	3.676728e-02	2.530945e-01	6.708423e-02
83            	cylinder	3.633109e-02	1.320547e-01	8.472813e-02
84            	atmosphere	3.972488e-01	1.959167e+00	6.744481e-01
84            	walls	4.232485e-02	2.530970e-01	6.956207e-02
84            	cylinder	2.986796e-02	1.424493e-01	8.184367e-02
85            	atmosphere	4.082315e-01	1.959192e+00	6.851430e-01
85            	walls	3.638248e-02	2.530961e-01	6.667659e-02
85            	cylinder	2.807512e-02	1.455089e-01	8.344780e-02
86            	atmosphere	3.968326e-01	1.959169e+00	6.755253e-01
86            	walls	4.235050e-02	2.530966e-01	6.946856e-02
86            	cylinder	2.926828e-02	1.419302e-01	8.796392e-02
87            	atmosphere	4.029205e-01	1.959200e+00	6.826652e-01
87            	walls	3.672000e-02	2.530940e-01	6.689261e-02
87            	cylinder	3.176052e-02	1.321014e-01	8.062272e-02
88            	atmosphere	3.912597e-01	1.959175e+00	6.714730e-01
88            	walls	4.279837e-02	2.530949e-01	6.977847e-02
88            	cylinder	3.243363e-02	1.278413e-01	8.174365e-02
89            	atmosphere	4.031932e-01	1.959197e+00	6.814312e-01
89            	walls	3.675814e-02	2.530945e-01	6.707849e-02
89            	cylinder	3.620221e-02	1.323719e-01	8.471277e-02
90            	atmosphere	3.973555e-01	1.959167e+00	6.745282e-01
90            	walls	4.231179e-02	2.530970e-01	6.955273e-02
90            	cylinder	2.950906e-02	1.427144e-01	8.173309e-02
91            	atmosphere	4.082249e-01	1.959192e+00	6.851663e-01
91            	walls	3.638421e-02	2.530961e-01	6.667319e-02
91            	cylinder	2.809900e-02	1.454922e-01	8.365199e-02
92            	atmosphere	3.967159e-01	1.959169e+00	6.754705e-01
92            	walls	4.236458e-02	2.530965e-01	6.947663e-02
92            	cylinder	2.913089e-02	1.416721e-01	8.788628e-02
93            	atmosphere	4.027874e-01	1.959200e+00	6.825681e-01
93            	walls	3.673356e-02	2.530939e-01	6.690259e-02
93            	cylinder	3.207912e-02	1.317917e-01	8.048062e-02
94            	atmosphere	3.912706e-01	1.959175e+00	6.714527e-01
94            	walls	4.279416e-02	2.530949e-01	6.977938e-02
94            	cylinder	3.263412e-02	1.278434e-01	8.189104e-02
95            	atmosphere	4.033245e-01	1.959196e+00	6.815010e-01
95            	walls	3.674534e-02	2.530945e-01	6.707326e-02
95            	cylinder	3.607084e-02	1.326935e-01	8.468485e-02
96            	atmosphere	3.974573e-01	1.959166e+00	6.746092e-01
96            	walls	4.230157e-02	2.530970e-01	6.954399e-02
96            	cylinder	2.927647e-02	1.429716e-01	8.164122e-02
97            	atmosphere	4.082153e-01	1.959192e+00	6.851939e-01
97            	walls	3.638290e-02	2.530961e-01	6.666942e-02
97            	cylinder	2.813657e-02	1.454672e-01	8.385222e-02
98            	atmosphere	3.965950e-01	1.959169e+00	6.754158e-01
98            	walls	4.237974e-02	2.530965e-01	6.948560e-02
98            	cylinder	2.897913e-02	1.414123e-01	8.778771e-02
99            	atmosphere	4.026558e-01	1.959200e+00	6.824763e-01
99            	walls	3.674471e-02	2.530939e-01	6.691237e-02
99            	cylinder	3.243979e-02	1.315068e-01	8.035722e-02
100           	atmosphere	3.912868e-01	1.959175e+00	6.714390e-01
100           	walls	4.279028e-02	2.530949e-01	6.978043e-02
100           	cylinder	3.281810e-02	1.278604e-01	8.204448e-02
