U:0,U:1,U:2,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,Points:0,Points:1,Points:2,Point ID
0.258687,3.43999e-07,0,45.2265,0.00122298,0,0,-45.2251,0,0,0,0,0.00036,0.001,0,18
0.320823,3.79444e-06,0,44.8447,0.0062415,0,0.00150002,-44.8462,0,0,0,0,0.00146,0.001,0,73
0.321711,3.9213e-06,0,44.1338,0.00640725,0,0.00149999,-44.1377,0,0,0,0,0.00148,0.001,0,74
0.322591,4.05e-06,0,43.425,0.00657375,0,0.00375,-43.4314,0,0,0,0,0.0015,0.001,0,75
0.2578,3.20005e-07,0,43.3185,0.00118698,0,0,-43.318,0,0,0,0,0.00034,0.001,0,17
0.323448,4.18425e-06,0,42.732,0.00674925,0,0.00375,-42.7332,0,0,0,0,0.00152,0.001,0,76
0.324297,4.32055e-06,0,42.0413,0.00692775,0,0.00375,-42.0381,0,0,0,0,0.00154,0.001,0,77
0.325132,4.46095e-06,0,41.355,0.00711225,0,0.00375001,-41.3494,0,0,0,0,0.00156,0.001,0,78
0.256958,2.96705e-07,0,41.3025,0.001156,0,0,-41.3026,0,0,0,0,0.00032,0.001,0,16
0.32595,4.60545e-06,0,40.6702,0.00729675,0,0.00525,-40.6678,0,0,0,0,0.00158,0.001,0,79
0.326761,4.752e-06,0,39.9862,0.00748125,0,0.00750001,-39.9898,0,0,0,0,0.0016,0.001,0,80
0.32755,4.9047e-06,0,39.3202,0.00767474,0,0.00525,-39.3235,0,0,0,0,0.00162,0.001,0,81
0.256137,2.73751e-07,0,39.2325,0.00112751,0,0,-39.2331,0,0,0,0,0.0003,0.001,0,15
0.328331,5.05965e-06,0,38.6603,0.00787124,0,0.00375,-38.6613,0,0,0,0,0.00164,0.001,0,82
0.329097,5.2191e-06,0,38.0123,0.00807375,0,0.00375,-38.0075,0,0,0,0,0.00166,0.001,0,83
0.32985,5.38304e-06,0,37.3688,0.00827925,0,0.00524999,-37.3625,0,0,0,0,0.00168,0.001,0,84
0.255388,2.51696e-07,0,37.005,0.00109751,0,0,-37.0095,0,0,0,0,0.00028,0.001,0,14
0.330595,5.54924e-06,0,36.7275,0.00848626,0,0.00749999,-36.7218,0,0,0,0,0.0017,0.001,0,85
0.331319,5.7225e-06,0,36.0953,0.00870675,0,0.0075,-36.0948,0,0,0,0,0.00172,0.001,0,86
0.332036,5.89831e-06,0,35.4683,0.0089295,0,0.00825,-35.4725,0,0,0,0,0.00174,0.001,0,87
0.332739,6.07921e-06,0,34.8517,0.00915676,0,0.0105,-34.8596,0,0,0,0,0.00176,0.001,0,88
0.254665,2.29996e-07,0,34.731,0.00106651,0,0,-34.7386,0,0,0,0,0.00026,0.001,0,13
0.333428,6.26511e-06,0,34.2487,0.0093855,0,0.01125,-34.2562,0,0,0,0,0.00178,0.001,0,89
0.334111,6.4535e-06,0,33.6525,0.009615,0,0.01125,-33.6576,0,0,0,0,0.0018,0.001,0,90
0.334775,6.6497e-06,0,33.072,0.00985575,0,0.01125,-33.0734,0,0,0,0,0.00182,0.001,0,91
0.335431,6.84864e-06,0,32.4953,0.0100995,0,0.01125,-32.4942,0,0,0,0,0.00184,0.001,0,92
0.253993,2.09006e-07,0,32.364,0.00103351,0,0,-32.3727,0,0,0,0,0.00024,0.001,0,12
0.336076,7.05309e-06,0,31.926,0.0103492,0,0.01125,-31.9247,0,0,0,0,0.00186,0.001,0,93
0.336707,7.26314e-06,0,31.3658,0.010605,0,0.00975,-31.3649,0,0,0,0,0.00188,0.001,0,94
0.337332,7.47599e-06,0,30.81,0.0108637,0,0.00750001,-30.8099,0,0,0,0,0.0019,0.001,0,95
0.33794,7.69769e-06,0,30.2678,0.011136,0,0.00974998,-30.2694,0,0,0,0,0.00192,0.001,0,96
0.253375,1.88709e-07,0,29.916,0.00100352,0,0,-29.9218,0,0,0,0,0.00022,0.001,0,11
0.338541,7.92249e-06,0,29.7308,0.0114113,0,0.01125,-29.7337,0,0,0,0,0.00194,0.001,0,97
0.33913,8.1535e-06,0,29.2042,0.0116925,0,0.01125,-29.2076,0,0,0,0,0.00196,0.001,0,98
0.339708,8.3908e-06,0,28.6898,0.0119797,0,0.00975004,-28.691,0,0,0,0,0.00198,0.001,0,99
0.34028,8.63125e-06,0,28.1813,0.01227,0,0.00750008,-28.179,0,0,0,0,0.002,0.001,0,100
0.340835,8.8816e-06,0,27.684,0.0125737,0,0.00975003,-27.681,0,0,0,0,0.00202,0.001,0,101
0.252784,1.68759e-07,0,27.4275,0.000975013,0,0,-27.4284,0,0,0,0,0.0002,0.001,0,10
0.341385,9.1354e-06,0,27.1898,0.012882,0,0.012,-27.1875,0,0,0,0,0.00204,0.001,0,102
0.341923,9.3961e-06,0,26.7015,0.0131992,0,0.01425,-26.7031,0,0,0,0,0.00206,0.001,0,103
0.342452,9.66401e-06,0,26.2253,0.0135255,0,0.0165,-26.2276,0,0,0,0,0.00208,0.001,0,104
0.342974,9.93551e-06,0,25.755,0.0138562,0,0.01875,-25.7566,0,0,0,0,0.0021,0.001,0,105
0.343482,1.02183e-05,0,25.2983,0.0142027,0,0.021,-25.2986,0,0,0,0,0.00212,0.001,0,106
0.343984,1.0505e-05,0,24.8452,0.0145545,0,0.02175,-24.8448,0,0,0,0,0.00214,0.001,0,107
0.252278,1.49703e-07,0,24.8265,0.000947976,0,0,-24.8256,0,0,0,0,0.00018,0.001,0,9
0.344476,1.07996e-05,0,24.3997,0.0149167,0,0.0195,-24.3995,0,0,0,0,0.00216,0.001,0,108
0.344959,1.11024e-05,0,23.9633,0.0152865,0,0.01725,-23.9623,0,0,0,0,0.00218,0.001,0,109
0.345437,1.14093e-05,0,23.5312,0.01566,0,0.015,-23.5292,0,0,0,0,0.0022,0.001,0,110
0.3459,1.17288e-05,0,23.1083,0.0160492,0,0.01725,-23.108,0,0,0,0,0.00222,0.001,0,111
0.346359,1.20527e-05,0,22.6898,0.016446,0,0.0195,-22.6906,0,0,0,0,0.00224,0.001,0,112
0.346809,1.23856e-05,0,22.2802,0.0168577,0,0.02175,-22.2808,0,0,0,0,0.00226,0.001,0,113
0.251801,1.30948e-07,0,22.1955,0.000922453,0,0,-22.1932,0,0,0,0,0.00016,0.001,0,8
0.347249,1.27278e-05,0,21.8783,0.0172845,0,0.0225,-21.8784,0,0,0,0,0.00228,0.001,0,114
0.347686,1.30747e-05,0,21.48,0.0177188,0,0.0225,-21.4797,0,0,0,0,0.0023,0.001,0,115
0.348109,1.34365e-05,0,21.0907,0.0181665,0,0.0225,-21.0917,0,0,0,0,0.00232,0.001,0,116
0.348527,1.38033e-05,0,20.7052,0.0186188,0,0.02175,-20.7071,0,0,0,0,0.00234,0.001,0,117
0.348938,1.41801e-05,0,20.3272,0.01908,0,0.0195,-20.3293,0,0,0,0,0.00236,0.001,0,118
0.349339,1.45674e-05,0,19.9553,0.0195577,0,0.0202499,-19.9581,0,0,0,0,0.00238,0.001,0,119
0.349737,1.496e-05,0,19.5863,0.0200437,0,0.0224999,-19.5902,0,0,0,0,0.0024,0.001,0,120
0.251384,1.12796e-07,0,19.5045,0.000899959,0,0,-19.5018,0,0,0,0,0.00014,0.001,0,7
0.350123,1.53692e-05,0,19.2307,0.0205477,0,0.027,-19.2316,0,0,0,0,0.00242,0.001,0,121
0.350505,1.57841e-05,0,18.8775,0.021057,0,0.03,-18.8761,0,0,0,0,0.00244,0.001,0,122
0.350879,1.62102e-05,0,18.5288,0.0215767,0,0.03,-18.5265,0,0,0,0,0.00246,0.001,0,123
0.351245,1.66481e-05,0,18.183,0.0221115,0,0.0315,-18.1827,0,0,0,0,0.00248,0.001,0,124
0.351608,1.7092e-05,0,17.8388,0.0226537,0,0.0337499,-17.8418,0,0,0,0,0.0025,0.001,0,125
0.351959,1.75543e-05,0,17.5103,0.0232117,0,0.036,-17.5091,0,0,0,0,0.00252,0.001,0,126
0.352306,1.80228e-05,0,17.1833,0.0237735,0,0.0375,-17.1789,0,0,0,0,0.00254,0.001,0,127
0.352647,1.85039e-05,0,16.8592,0.0243427,0,0.0375,-16.854,0,0,0,0,0.00256,0.001,0,128
0.251027,9.50458e-08,0,16.7595,0.000878465,0,0,-16.7668,0,0,0,0,0.00012,0.001,0,6
0.35298,1.89977e-05,0,16.5368,0.0249225,0,0.0375,-16.5341,0,0,0,0,0.00258,0.001,0,129
0.35331,1.9498e-05,0,16.215,0.0255075,0,0.0375,-16.2167,0,0,0,0,0.0026,0.001,0,130
0.353629,2.0018e-05,0,15.9045,0.0261037,0,0.042,-15.9063,0,0,0,0,0.00262,0.001,0,131
0.353944,2.05447e-05,0,15.5963,0.0267022,0,0.0465,-15.5982,0,0,0,0,0.00264,0.001,0,132
0.354253,2.10848e-05,0,15.2925,0.0273052,0,0.051,-15.2947,0,0,0,0,0.00266,0.001,0,133
0.354555,2.16383e-05,0,14.9948,0.0279127,0,0.0525,-14.9954,0,0,0,0,0.00268,0.001,0,134
0.354854,2.21985e-05,0,14.7,0.0285225,0,0.0525,-14.6983,0,0,0,0,0.0027,0.001,0,135
0.355143,2.27792e-05,0,14.412,0.02913,0,0.05475,-14.4072,0,0,0,0,0.00272,0.001,0,136
0.355429,2.33665e-05,0,14.124,0.029736,0,0.05625,-14.1181,0,0,0,0,0.00274,0.001,0,137
0.2507,7.74962e-08,0,13.9875,0.000857472,0,0,-14.01,0,0,0,0,0.0001,0.001,0,5
0.355709,2.39672e-05,0,13.836,0.030339,0,0.05625,-13.833,0,0,0,0,0.00276,0.001,0,138
0.355982,2.45814e-05,0,13.551,0.030936,0,0.05625,-13.5515,0,0,0,0,0.00278,0.001,0,139
0.356252,2.52023e-05,0,13.2675,0.03153,0,0.05625,-13.2719,0,0,0,0,0.0028,0.001,0,140
0.356513,2.58426e-05,0,12.993,0.032106,0,0.06075,-12.9976,0,0,0,0,0.00282,0.001,0,141
0.35677,2.64892e-05,0,12.7207,0.0326745,0,0.06375,-12.725,0,0,0,0,0.00284,0.001,0,142
0.357022,2.71485e-05,0,12.453,0.033228,0,0.06375,-12.4558,0,0,0,0,0.00286,0.001,0,143
0.357268,2.78197e-05,0,12.1883,0.0337605,0,0.06675,-12.1899,0,0,0,0,0.00288,0.001,0,144
0.357511,2.8497e-05,0,11.925,0.0342825,0,0.07125,-11.9256,0,0,0,0,0.0029,0.001,0,145
0.357745,2.9191e-05,0,11.6663,0.0347685,0,0.0779999,-11.6661,0,0,0,0,0.00292,0.001,0,146
0.357976,2.98903e-05,0,11.409,0.0352395,0,0.0825,-11.408,0,0,0,0,0.00294,0.001,0,147
0.250467,6.0847e-08,0,11.1345,0.000819993,0,0,-11.2129,0,0,0,0,8e-05,0.001,0,4
0.358202,3.06e-05,0,11.1547,0.0356805,0,0.0825,-11.153,0,0,0,0,0.00296,0.001,0,148
0.358422,3.13188e-05,0,10.902,0.036084,0,0.084,-10.9009,0,0,0,0,0.00298,0.001,0,149
0.358639,3.20423e-05,0,10.65,0.0364687,0,0.0862499,-10.6503,0,0,0,0,0.003,0.001,0,150
0.358848,3.27776e-05,0,10.4025,0.036795,0,0.0884999,-10.404,0,0,0,0,0.00302,0.001,0,151
0.359054,3.35161e-05,0,10.1573,0.037098,0,0.0907499,-10.1592,0,0,0,0,0.00304,0.001,0,152
0.359255,3.42614e-05,0,9.9165,0.0373545,0,0.093,-9.91712,0,0,0,0,0.00306,0.001,0,153
