# Force coefficients
# liftDir     : (9.961947e-01 -8.715577e-02 0.000000e+00)
# dragDir     : (8.715577e-02 9.961947e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.311284e-01	6.399364e-01	1.668189e-01	-4.771894e-02	2.145379e-01
2             	-8.157544e-02	3.754560e-01	1.228613e-01	-2.014479e-02	1.430061e-01
3             	-8.776866e-02	3.577885e-01	5.429686e-02	-6.062023e-02	1.149171e-01
4             	-8.180349e-02	3.682650e-01	1.058463e-02	-7.651117e-02	8.709580e-02
5             	-7.818973e-02	3.712931e-01	-9.923531e-03	-8.315150e-02	7.322797e-02
6             	-8.981604e-02	3.908989e-01	-1.493849e-02	-9.728528e-02	8.234679e-02
7             	-1.031889e-01	4.262567e-01	-1.320590e-02	-1.097918e-01	9.658595e-02
8             	-1.196042e-01	4.666517e-01	-1.076084e-02	-1.249846e-01	1.142238e-01
9             	-1.377578e-01	5.195877e-01	-1.100149e-02	-1.432585e-01	1.322570e-01
10            	-1.519784e-01	5.656096e-01	-1.372732e-02	-1.588420e-01	1.451147e-01
11            	-1.635301e-01	6.051260e-01	-1.769907e-02	-1.723796e-01	1.546805e-01
12            	-1.696273e-01	6.349175e-01	-2.254065e-02	-1.808976e-01	1.583569e-01
13            	-1.729855e-01	6.507533e-01	-2.660395e-02	-1.862874e-01	1.596835e-01
14            	-1.736004e-01	6.574973e-01	-2.952455e-02	-1.883627e-01	1.588382e-01
15            	-1.716960e-01	6.525413e-01	-3.094519e-02	-1.871686e-01	1.562234e-01
16            	-1.672730e-01	6.381971e-01	-3.078150e-02	-1.826638e-01	1.518823e-01
17            	-1.599768e-01	6.129240e-01	-2.890900e-02	-1.744313e-01	1.455223e-01
18            	-1.504528e-01	5.800664e-01	-2.569447e-02	-1.633000e-01	1.376055e-01
19            	-1.348549e-01	5.329970e-01	-2.108696e-02	-1.453984e-01	1.243115e-01
20            	-1.138225e-01	4.743820e-01	-1.527570e-02	-1.214603e-01	1.061846e-01
21            	-8.547260e-02	4.027256e-01	-8.784440e-03	-8.986482e-02	8.108038e-02
22            	-5.076878e-02	3.212369e-01	-2.316732e-03	-5.192715e-02	4.961041e-02
23            	-1.050009e-02	2.326060e-01	3.576439e-03	-8.711867e-03	1.228831e-02
24            	3.465797e-02	1.378006e-01	8.581949e-03	3.894895e-02	-3.036700e-02
25            	7.652976e-02	5.494511e-02	1.134750e-02	8.220351e-02	-7.085601e-02
26            	1.076060e-01	-4.057301e-03	1.162151e-02	1.134167e-01	-1.017952e-01
27            	1.216783e-01	-2.757793e-02	9.615694e-03	1.264862e-01	-1.168705e-01
28            	1.132798e-01	-6.734946e-03	5.537728e-03	1.160487e-01	-1.105110e-01
29            	9.182225e-02	4.175522e-02	-2.047592e-04	9.171987e-02	-9.192463e-02
30            	6.104347e-02	1.124352e-01	-6.679344e-03	5.770379e-02	-6.438314e-02
31            	3.377834e-02	1.784161e-01	-1.327381e-02	2.714144e-02	-4.041524e-02
32            	1.556743e-02	2.254957e-01	-1.908857e-02	6.023141e-03	-2.511171e-02
33            	4.463164e-03	2.569842e-01	-2.345937e-02	-7.266520e-03	-1.619285e-02
34            	-6.154460e-04	2.755775e-01	-2.616899e-02	-1.369994e-02	-1.246905e-02
35            	-5.440811e-04	2.828540e-01	-2.730601e-02	-1.419709e-02	-1.310892e-02
36            	3.335638e-03	2.806968e-01	-2.700607e-02	-1.016740e-02	-1.683867e-02
37            	8.723065e-03	2.745053e-01	-2.638848e-02	-4.471177e-03	-2.191731e-02
38            	1.638474e-02	2.635601e-01	-2.579085e-02	3.489312e-03	-2.928016e-02
39            	2.598839e-02	2.489069e-01	-2.511542e-02	1.343068e-02	-3.854610e-02
40            	3.638007e-02	2.332112e-01	-2.458436e-02	2.408789e-02	-4.867225e-02
41            	4.624196e-02	2.185628e-01	-2.445357e-02	3.401518e-02	-5.846875e-02
42            	5.352850e-02	2.093810e-01	-2.501999e-02	4.101851e-02	-6.603850e-02
43            	5.602519e-02	2.100984e-01	-2.644088e-02	4.280476e-02	-6.924563e-02
44            	5.339644e-02	2.208686e-01	-2.841937e-02	3.918676e-02	-6.760613e-02
45            	4.624611e-02	2.409542e-01	-3.053469e-02	3.097877e-02	-6.151345e-02
46            	3.793837e-02	2.635840e-01	-3.263677e-02	2.161998e-02	-5.425675e-02
47            	3.033871e-02	2.852513e-01	-3.476738e-02	1.295502e-02	-4.772239e-02
48            	2.385537e-02	3.054339e-01	-3.689092e-02	5.409912e-03	-4.230083e-02
49            	1.900438e-02	3.228959e-01	-3.896322e-02	-4.772327e-04	-3.848599e-02
50            	1.523989e-02	3.385849e-01	-4.099745e-02	-5.258835e-03	-3.573861e-02
51            	1.237163e-02	3.524850e-01	-4.295264e-02	-9.104695e-03	-3.384795e-02
52            	1.003273e-02	3.653960e-01	-4.484238e-02	-1.238846e-02	-3.245392e-02
53            	8.159655e-03	3.773027e-01	-4.665386e-02	-1.516728e-02	-3.148659e-02
54            	6.608038e-03	3.885569e-01	-4.842712e-02	-1.760552e-02	-3.082160e-02
55            	5.418941e-03	3.988317e-01	-5.014875e-02	-1.965543e-02	-3.049332e-02
56            	4.479609e-03	4.084373e-01	-5.183516e-02	-2.143797e-02	-3.039719e-02
57            	3.711025e-03	4.176388e-01	-5.350064e-02	-2.303929e-02	-3.046134e-02
58            	3.145455e-03	4.261733e-01	-5.512252e-02	-2.441580e-02	-3.070671e-02
59            	2.710210e-03	4.342368e-01	-5.671574e-02	-2.564766e-02	-3.106808e-02
60            	2.370135e-03	4.419582e-01	-5.828252e-02	-2.677112e-02	-3.151139e-02
61            	2.143495e-03	4.491730e-01	-5.981174e-02	-2.776237e-02	-3.204936e-02
62            	1.974152e-03	4.561252e-01	-6.131070e-02	-2.868120e-02	-3.262950e-02
63            	1.894955e-03	4.625440e-01	-6.276178e-02	-2.948593e-02	-3.327584e-02
64            	1.848488e-03	4.686706e-01	-6.417391e-02	-3.023847e-02	-3.393544e-02
65            	1.849451e-03	4.743726e-01	-6.552837e-02	-3.091473e-02	-3.461364e-02
66            	1.893468e-03	4.796338e-01	-6.682871e-02	-3.152089e-02	-3.530782e-02
67            	1.958692e-03	4.845432e-01	-6.807152e-02	-3.207707e-02	-3.599445e-02
68            	2.066750e-03	4.889338e-01	-6.924077e-02	-3.255364e-02	-3.668713e-02
