# Force coefficients
# liftDir     : (9.702957e-01 -2.419219e-01 0.000000e+00)
# dragDir     : (2.419219e-01 9.702957e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.273453e-01	1.321744e+00	-1.269076e-01	-2.907991e-01	1.638915e-01
2             	-2.336209e-01	1.024692e+00	-1.464341e-02	-2.409426e-01	2.262992e-01
3             	-2.427669e-01	1.138574e+00	-8.929860e-02	-2.874162e-01	1.981176e-01
4             	-1.942214e-01	1.293415e+00	-1.780206e-01	-2.832317e-01	1.052111e-01
5             	-1.445876e-01	1.347493e+00	-2.211160e-01	-2.551456e-01	3.402958e-02
6             	-1.495192e-01	1.491819e+00	-2.738461e-01	-2.864422e-01	1.259612e-02
7             	-1.407619e-01	1.682050e+00	-3.639617e-01	-3.227427e-01	-4.121895e-02
8             	-8.603729e-02	1.656542e+00	-4.246457e-01	-2.983601e-01	-1.262856e-01
9             	-3.678619e-02	1.530368e+00	-4.380813e-01	-2.558268e-01	-1.822544e-01
10            	-1.768391e-02	1.486202e+00	-4.447129e-01	-2.400403e-01	-2.046725e-01
11            	-1.127290e-02	1.451301e+00	-4.404133e-01	-2.314795e-01	-2.089337e-01
12            	-2.230966e-02	1.447104e+00	-4.307330e-01	-2.376762e-01	-1.930568e-01
13            	-4.093650e-02	1.472492e+00	-4.226158e-01	-2.522444e-01	-1.703714e-01
14            	-5.956200e-02	1.499507e+00	-4.103556e-01	-2.647398e-01	-1.456158e-01
15            	-7.976142e-02	1.534890e+00	-3.977175e-01	-2.786202e-01	-1.190973e-01
16            	-9.969283e-02	1.557941e+00	-3.812493e-01	-2.903175e-01	-9.093181e-02
17            	-1.233736e-01	1.573042e+00	-3.631405e-01	-3.049438e-01	-5.819668e-02
18            	-1.539193e-01	1.589183e+00	-3.462084e-01	-3.270234e-01	-1.918492e-02
19            	-1.880268e-01	1.601155e+00	-3.312134e-01	-3.536335e-01	2.242008e-02
20            	-2.238587e-01	1.605607e+00	-3.188970e-01	-3.833072e-01	6.441020e-02
21            	-2.602515e-01	1.590237e+00	-3.048578e-01	-4.126804e-01	1.078226e-01
22            	-2.947586e-01	1.544137e+00	-2.845987e-01	-4.370580e-01	1.524593e-01
23            	-3.251574e-01	1.475756e+00	-2.598515e-01	-4.550831e-01	1.952316e-01
24            	-3.458053e-01	1.384619e+00	-2.311004e-01	-4.613555e-01	2.302551e-01
25            	-3.527811e-01	1.265199e+00	-1.965709e-01	-4.510666e-01	2.544957e-01
26            	-3.408696e-01	1.115990e+00	-1.569903e-01	-4.193647e-01	2.623745e-01
27            	-3.054928e-01	9.344688e-01	-1.126954e-01	-3.618405e-01	2.491451e-01
28            	-2.486383e-01	7.300145e-01	-6.633399e-02	-2.818053e-01	2.154713e-01
29            	-1.679417e-01	4.951888e-01	-1.646791e-02	-1.761756e-01	1.597077e-01
30            	-7.930482e-02	2.728230e-01	2.842267e-02	-6.509349e-02	9.351616e-02
31            	4.578889e-03	8.973343e-02	6.221238e-02	3.568508e-02	2.652730e-02
32            	8.340003e-02	-7.156299e-02	8.930449e-02	1.280523e-01	-3.874779e-02
33            	1.414166e-01	-1.857683e-01	1.060690e-01	1.944511e-01	-8.838209e-02
34            	1.619192e-01	-2.172465e-01	1.062467e-01	2.150425e-01	-1.087958e-01
35            	1.506197e-01	-1.856461e-01	9.551906e-02	1.983792e-01	-1.028602e-01
36            	1.203532e-01	-1.081914e-01	7.558411e-02	1.581452e-01	-8.256112e-02
37            	8.872380e-02	-1.839195e-02	5.101396e-02	1.142308e-01	-6.321682e-02
38            	4.851688e-02	1.156853e-01	1.457941e-02	5.580658e-02	-4.122718e-02
39            	1.167944e-02	2.587990e-01	-2.581843e-02	-1.229772e-03	-2.458865e-02
40            	-1.009311e-02	3.692639e-01	-6.069726e-02	-4.044174e-02	-2.025552e-02
41            	-2.512441e-02	4.660154e-01	-9.370743e-02	-7.197812e-02	-2.172930e-02
42            	-3.176435e-02	5.342305e-01	-1.201029e-01	-9.181580e-02	-2.828710e-02
43            	-3.467015e-02	5.819825e-01	-1.405129e-01	-1.049266e-01	-3.558628e-02
44            	-3.505465e-02	6.074189e-01	-1.536526e-01	-1.118809e-01	-4.177164e-02
45            	-4.332533e-02	6.401014e-01	-1.650692e-01	-1.258599e-01	-3.920928e-02
46            	-6.106752e-02	6.851176e-01	-1.765645e-01	-1.493498e-01	-2.721472e-02
47            	-8.389195e-02	7.353789e-01	-1.880081e-01	-1.778960e-01	-1.011210e-02
48            	-1.058254e-01	7.819107e-01	-1.982412e-01	-2.049460e-01	6.704847e-03
49            	-1.250485e-01	8.210459e-01	-2.067790e-01	-2.284380e-01	2.165899e-02
50            	-1.398616e-01	8.484042e-01	-2.129562e-01	-2.463397e-01	3.338353e-02
51            	-1.493302e-01	8.644198e-01	-2.167000e-01	-2.576802e-01	4.098018e-02
52            	-1.507921e-01	8.643695e-01	-2.171445e-01	-2.593644e-01	4.221989e-02
53            	-1.430307e-01	8.473099e-01	-2.140800e-01	-2.500707e-01	3.599065e-02
54            	-1.244448e-01	8.117455e-01	-2.072608e-01	-2.280752e-01	2.081443e-02
55            	-9.695348e-02	7.617493e-01	-1.972925e-01	-1.955997e-01	-1.692782e-03
56            	-6.150273e-02	6.997897e-01	-1.846630e-01	-1.538342e-01	-3.082875e-02
57            	-2.025763e-02	6.306036e-01	-1.704039e-01	-1.054596e-01	-6.494431e-02
58            	2.361233e-02	5.604894e-01	-1.560393e-01	-5.440734e-02	-1.016320e-01
59            	6.831684e-02	4.929187e-01	-1.425372e-01	-2.951755e-03	-1.395854e-01
60            	1.081970e-01	4.383430e-01	-1.324483e-01	4.197291e-02	-1.744212e-01
61            	1.365321e-01	4.084093e-01	-1.283917e-01	7.233623e-02	-2.007280e-01
62            	1.474414e-01	4.113141e-01	-1.316476e-01	8.161754e-02	-2.132652e-01
63            	1.366358e-01	4.526763e-01	-1.424627e-01	6.540446e-02	-2.078671e-01
64            	1.062938e-01	5.325824e-01	-1.613190e-01	2.563429e-02	-1.869533e-01
65            	7.096118e-02	6.250497e-01	-1.838461e-01	-2.096188e-02	-1.628842e-01
66            	3.804613e-02	7.119318e-01	-2.052246e-01	-6.456618e-02	-1.406584e-01
67            	7.283581e-03	7.946060e-01	-2.250553e-01	-1.052441e-01	-1.198112e-01
68            	-1.647885e-02	8.612116e-01	-2.408606e-01	-1.369092e-01	-1.039515e-01
69            	-3.595960e-02	9.132530e-01	-2.515099e-01	-1.617145e-01	-8.979534e-02
70            	-5.444385e-02	9.571477e-01	-2.586820e-01	-1.837849e-01	-7.489715e-02
71            	-7.557387e-02	9.992957e-01	-2.643944e-01	-2.077711e-01	-5.662334e-02
72            	-1.002513e-01	1.041451e+00	-2.690862e-01	-2.347944e-01	-3.429186e-02
73            	-1.281648e-01	1.083389e+00	-2.727389e-01	-2.645342e-01	-8.204667e-03
74            	-1.574071e-01	1.123045e+00	-2.758301e-01	-2.953222e-01	1.949203e-02
75            	-1.853935e-01	1.154516e+00	-2.776760e-01	-3.242316e-01	4.655552e-02
76            	-2.095830e-01	1.174016e+00	-2.778475e-01	-3.485067e-01	7.065922e-02
77            	-2.269902e-01	1.174868e+00	-2.750050e-01	-3.644927e-01	8.948772e-02
78            	-2.375845e-01	1.160675e+00	-2.692946e-01	-3.722318e-01	1.029372e-01
79            	-2.388069e-01	1.126764e+00	-2.594913e-01	-3.685525e-01	1.090612e-01
80            	-2.292209e-01	1.072328e+00	-2.452369e-01	-3.518393e-01	1.066024e-01
81            	-2.080550e-01	9.968241e-01	-2.262536e-01	-3.211818e-01	9.492824e-02
82            	-1.770366e-01	9.066593e-01	-2.036692e-01	-2.788712e-01	7.520205e-02
