# Force coefficients
# liftDir     : (9.612615e-01 -2.756379e-01 0.000000e+00)
# dragDir     : (2.756379e-01 9.612615e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.010753e-01	1.314413e+00	-1.891782e-01	-2.956644e-01	1.064862e-01
2             	-2.495886e-01	1.149004e+00	-6.635632e-02	-2.827667e-01	2.164104e-01
3             	-2.601603e-01	1.330397e+00	-1.555385e-01	-3.379295e-01	1.823911e-01
4             	-2.030524e-01	1.571248e+00	-2.745022e-01	-3.403035e-01	6.580134e-02
5             	-1.255894e-01	1.652320e+00	-3.447565e-01	-2.979676e-01	-4.678881e-02
6             	-9.921275e-02	1.818416e+00	-4.607141e-01	-3.295698e-01	-1.311443e-01
7             	-7.000630e-02	1.907906e+00	-5.893619e-01	-3.646873e-01	-2.246747e-01
8             	-1.541815e-02	1.831850e+00	-6.664341e-01	-3.486352e-01	-3.177989e-01
9             	2.672006e-02	1.667383e+00	-6.748691e-01	-3.107145e-01	-3.641546e-01
10            	3.696454e-02	1.589950e+00	-6.708615e-01	-2.984662e-01	-3.723953e-01
11            	3.274993e-02	1.537352e+00	-6.513914e-01	-2.929458e-01	-3.584456e-01
12            	1.175710e-02	1.526391e+00	-6.315815e-01	-3.040336e-01	-3.275479e-01
13            	-1.307410e-02	1.555426e+00	-6.174849e-01	-3.218166e-01	-2.956684e-01
14            	-3.516985e-02	1.605831e+00	-6.045360e-01	-3.374378e-01	-2.670981e-01
15            	-5.689922e-02	1.661955e+00	-5.947100e-01	-3.542542e-01	-2.404558e-01
16            	-7.684134e-02	1.727675e+00	-5.831641e-01	-3.684234e-01	-2.147407e-01
17            	-9.918817e-02	1.779928e+00	-5.673308e-01	-3.828536e-01	-1.844772e-01
18            	-1.292794e-01	1.824912e+00	-5.487235e-01	-4.036411e-01	-1.450824e-01
19            	-1.664404e-01	1.859641e+00	-5.268696e-01	-4.298752e-01	-9.699442e-02
20            	-2.070557e-01	1.872141e+00	-4.991541e-01	-4.566328e-01	-4.252134e-02
21            	-2.496970e-01	1.868378e+00	-4.711358e-01	-4.852649e-01	1.412910e-02
22            	-2.906213e-01	1.860643e+00	-4.434748e-01	-5.123587e-01	6.888393e-02
23            	-3.278462e-01	1.831223e+00	-4.144770e-01	-5.350847e-01	1.206077e-01
24            	-3.606507e-01	1.782932e+00	-3.872847e-01	-5.542930e-01	1.670083e-01
25            	-3.851413e-01	1.695493e+00	-3.535966e-01	-5.619397e-01	2.083430e-01
26            	-4.008241e-01	1.575430e+00	-3.123168e-01	-5.569825e-01	2.446658e-01
27            	-4.005575e-01	1.424221e+00	-2.653092e-01	-5.332121e-01	2.679028e-01
28            	-3.820905e-01	1.237973e+00	-2.104650e-01	-4.873230e-01	2.768580e-01
29            	-3.372739e-01	1.022651e+00	-1.525713e-01	-4.135595e-01	2.609883e-01
30            	-2.723764e-01	7.811890e-01	-8.967699e-02	-3.172149e-01	2.275379e-01
31            	-1.894049e-01	5.261107e-01	-2.567478e-02	-2.022423e-01	1.765675e-01
32            	-9.386929e-02	2.797741e-01	3.251915e-02	-7.760972e-02	1.101289e-01
33            	1.514234e-03	6.221574e-02	8.064655e-02	4.183751e-02	3.880904e-02
34            	8.021862e-02	-9.625298e-02	1.119817e-01	1.362095e-01	-2.422779e-02
35            	1.442402e-01	-2.234929e-01	1.347681e-01	2.116243e-01	-7.685615e-02
36            	1.649940e-01	-2.566447e-01	1.353598e-01	2.326739e-01	-9.731414e-02
37            	1.597801e-01	-2.561171e-01	1.318330e-01	2.256966e-01	-9.386365e-02
38            	1.148641e-01	-1.485103e-01	1.037492e-01	1.667387e-01	-6.298956e-02
