# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.463030e-03
2             	9.846315e-02	1.379756e-02	1.626144e-01	2.386517e-01	2.975377e-03
3             	6.892283e-02	7.650135e-03	6.120974e-02	7.739581e-02	3.703301e-03
4             	1.395787e-01	6.677178e-03	3.142490e-02	2.863996e-02	1.756438e-03
5             	1.669177e-01	5.721975e-03	2.319820e-02	9.833776e-03	1.351111e-03
6             	1.787701e-01	5.282175e-03	1.628962e-02	4.564841e-03	9.992284e-04
7             	1.397926e-01	4.605531e-03	1.224305e-02	3.706557e-03	6.984891e-04
8             	1.255458e-01	4.235294e-03	1.071234e-02	2.812325e-03	4.785267e-04
9             	9.250142e-02	4.028207e-03	8.907981e-03	1.764836e-03	4.488776e-04
10            	1.030310e-01	4.279820e-03	8.335626e-03	1.581071e-03	3.905065e-04
11            	1.134974e-01	4.200083e-03	7.736537e-03	1.385820e-03	4.283774e-04
12            	7.957928e-02	4.310300e-03	7.567556e-03	1.378708e-03	4.331410e-04
13            	5.562774e-02	4.347254e-03	7.538067e-03	1.343633e-03	4.669707e-04
14            	4.250302e-02	4.335717e-03	7.772324e-03	1.361404e-03	4.637565e-04
15            	3.237149e-02	4.331021e-03	8.183954e-03	1.327814e-03	4.560788e-04
16            	2.640207e-02	4.325362e-03	8.793392e-03	1.333454e-03	4.480996e-04
17            	2.292732e-02	4.394929e-03	9.601019e-03	1.229285e-03	4.241915e-04
18            	1.980215e-02	4.300339e-03	1.060962e-02	1.173814e-03	4.083851e-04
19            	1.747938e-02	4.294422e-03	1.198162e-02	1.084502e-03	3.962642e-04
20            	1.580429e-02	4.373782e-03	1.378149e-02	1.000777e-03	3.721139e-04
21            	1.429540e-02	4.428753e-03	1.613612e-02	9.783651e-04	3.576308e-04
22            	1.325426e-02	4.438050e-03	1.940868e-02	9.530285e-04	3.478502e-04
23            	1.241951e-02	4.418496e-03	2.435130e-02	9.327237e-04	3.348473e-04
24            	1.171124e-02	4.453027e-03	3.273842e-02	9.282049e-04	3.364112e-04
25            	1.087982e-02	4.530589e-03	4.916967e-02	9.380831e-04	3.328928e-04
26            	1.027951e-02	4.695140e-03	7.538849e-02	9.092995e-04	3.263419e-04
27            	9.624781e-03	4.743320e-03	4.691323e-02	9.267188e-04	3.132209e-04
28            	9.654044e-03	4.701676e-03	3.180747e-02	9.324633e-04	3.014974e-04
29            	1.043783e-02	4.888459e-03	2.512614e-02	9.533937e-04	3.004416e-04
30            	1.164277e-02	5.449694e-03	2.242159e-02	9.799816e-04	2.964185e-04
31            	1.374250e-02	6.291715e-03	2.122211e-02	1.000885e-03	2.989569e-04
32            	1.471417e-02	7.575754e-03	2.225712e-02	1.021923e-03	2.839953e-04
33            	1.598807e-02	9.031934e-03	2.456961e-02	1.009338e-03	2.888202e-04
34            	1.935278e-02	1.094094e-02	3.011646e-02	1.075062e-03	2.756112e-04
35            	2.113747e-02	1.296026e-02	4.327436e-02	1.144258e-03	2.721014e-04
36            	2.304811e-02	1.489214e-02	7.200659e-02	1.212724e-03	2.650821e-04
37            	2.853543e-02	1.616966e-02	1.228074e-01	1.262424e-03	2.511382e-04
38            	3.737683e-02	1.703476e-02	6.386929e-02	1.303146e-03	2.439983e-04
39            	4.810946e-02	1.692660e-02	4.313979e-02	1.255342e-03	2.391676e-04
40            	6.164317e-02	1.595220e-02	3.331202e-02	1.189236e-03	2.365753e-04
41            	6.411332e-02	1.491022e-02	2.747213e-02	1.115928e-03	2.176137e-04
42            	5.959307e-02	1.381725e-02	2.366909e-02	1.040285e-03	2.121496e-04
43            	5.690966e-02	1.263858e-02	2.095414e-02	9.321429e-04	1.968860e-04
44            	5.213001e-02	1.165708e-02	1.919180e-02	8.475045e-04	1.911989e-04
45            	4.364830e-02	1.091016e-02	1.804627e-02	8.033499e-04	1.879013e-04
46            	3.489423e-02	1.026328e-02	1.762363e-02	7.675277e-04	1.857692e-04
47            	2.761520e-02	9.653638e-03	1.796518e-02	7.254287e-04	1.867988e-04
48            	2.189222e-02	9.179237e-03	1.935887e-02	6.550839e-04	1.815096e-04
49            	1.796202e-02	8.860467e-03	2.205361e-02	6.203917e-04	1.825952e-04
50            	1.531537e-02	8.636964e-03	2.672364e-02	6.196453e-04	1.801466e-04
51            	1.437679e-02	8.382766e-03	3.514774e-02	6.317906e-04	1.767177e-04
52            	1.313472e-02	8.203454e-03	5.079685e-02	6.376544e-04	1.735428e-04
53            	1.252226e-02	8.046176e-03	8.051346e-02	6.406060e-04	1.719577e-04
54            	1.273620e-02	7.997621e-03	9.824084e-02	6.600157e-04	1.726927e-04
55            	1.390027e-02	8.134578e-03	8.354914e-02	6.812593e-04	1.751929e-04
56            	1.506805e-02	8.596943e-03	8.603091e-02	7.322685e-04	1.795221e-04
57            	1.629623e-02	9.247788e-03	1.043759e-01	7.765360e-04	1.828912e-04
58            	1.763685e-02	9.959525e-03	1.228097e-01	8.018937e-04	1.806743e-04
59            	1.786254e-02	1.026525e-02	9.431146e-02	7.885226e-04	1.774779e-04
60            	1.700182e-02	1.036390e-02	6.137038e-02	7.591841e-04	1.674539e-04
61            	1.662789e-02	1.020118e-02	4.086384e-02	7.195071e-04	1.561997e-04
62            	1.817768e-02	9.765059e-03	2.919766e-02	6.971449e-04	1.481222e-04
63            	1.841445e-02	9.258544e-03	2.256032e-02	6.890820e-04	1.441126e-04
64            	1.793492e-02	8.765424e-03	1.874910e-02	6.751512e-04	1.418905e-04
65            	1.760563e-02	8.397628e-03	1.643866e-02	6.516604e-04	1.405559e-04
66            	1.614413e-02	8.179485e-03	1.512215e-02	6.060011e-04	1.385300e-04
67            	1.425609e-02	8.140431e-03	1.457622e-02	5.509072e-04	1.361262e-04
68            	1.354129e-02	8.128490e-03	1.468739e-02	4.856324e-04	1.318600e-04
69            	1.281296e-02	8.037274e-03	1.541441e-02	4.342150e-04	1.269725e-04
70            	1.246308e-02	7.860542e-03	1.676888e-02	4.119657e-04	1.237646e-04
71            	1.136494e-02	7.673765e-03	1.829561e-02	4.098337e-04	1.234777e-04
72            	1.034751e-02	7.453828e-03	1.942260e-02	4.154727e-04	1.233424e-04
