# Force coefficients
# liftDir     : (9.743701e-01 -2.249510e-01 0.000000e+00)
# dragDir     : (2.249510e-01 9.743701e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.335744e-01	1.302344e+00	-9.207923e-02	-2.796140e-01	1.875347e-01
2             	-2.232773e-01	9.584637e-01	6.369341e-03	-2.200926e-01	2.264620e-01
3             	-2.309870e-01	1.045283e+00	-6.361530e-02	-2.627947e-01	1.991794e-01
4             	-1.877996e-01	1.173180e+00	-1.417901e-01	-2.586947e-01	1.169046e-01
5             	-1.504886e-01	1.217012e+00	-1.775926e-01	-2.392849e-01	6.169227e-02
6             	-1.647614e-01	1.344169e+00	-2.127165e-01	-2.711196e-01	5.840316e-02
7             	-1.646002e-01	1.514454e+00	-2.736949e-01	-3.014476e-01	2.775276e-02
8             	-1.242273e-01	1.551596e+00	-3.257798e-01	-2.871172e-01	-3.866257e-02
9             	-7.690199e-02	1.447877e+00	-3.355151e-01	-2.446595e-01	-9.085556e-02
10            	-5.718626e-02	1.419080e+00	-3.421691e-01	-2.282708e-01	-1.138983e-01
11            	-4.533029e-02	1.385902e+00	-3.372030e-01	-2.139318e-01	-1.232712e-01
12            	-4.879342e-02	1.371391e+00	-3.260297e-01	-2.118083e-01	-1.142214e-01
13            	-6.292731e-02	1.380927e+00	-3.154220e-01	-2.206383e-01	-9.478368e-02
14            	-8.092413e-02	1.388917e+00	-3.012307e-01	-2.315395e-01	-6.969122e-02
15            	-1.011905e-01	1.401820e+00	-2.896337e-01	-2.460073e-01	-4.362639e-02
16            	-1.234885e-01	1.419756e+00	-2.802113e-01	-2.635942e-01	-1.661710e-02
17            	-1.472065e-01	1.420040e+00	-2.695824e-01	-2.819977e-01	1.241533e-02
18            	-1.791586e-01	1.414264e+00	-2.581087e-01	-3.082129e-01	5.010422e-02
19            	-2.144263e-01	1.399375e+00	-2.454465e-01	-3.371496e-01	9.170311e-02
20            	-2.513090e-01	1.368639e+00	-2.286661e-01	-3.656420e-01	1.369760e-01
21            	-2.866382e-01	1.329396e+00	-2.100041e-01	-3.916403e-01	1.816362e-01
22            	-3.144735e-01	1.270681e+00	-1.876339e-01	-4.082905e-01	2.206566e-01
23            	-3.308471e-01	1.189208e+00	-1.610501e-01	-4.113722e-01	2.503220e-01
24            	-3.283332e-01	1.072925e+00	-1.292413e-01	-3.929538e-01	2.637125e-01
25            	-3.023279e-01	9.187531e-01	-9.263274e-02	-3.486443e-01	2.560115e-01
26            	-2.528693e-01	7.392947e-01	-5.464949e-02	-2.801941e-01	2.255446e-01
27            	-1.853243e-01	5.466315e-01	-1.744691e-02	-1.940477e-01	1.766008e-01
28            	-9.592312e-02	3.224474e-01	2.261401e-02	-8.461612e-02	1.072301e-01
29            	-1.512933e-02	1.405239e-01	5.309509e-02	1.141821e-02	4.167688e-02
30            	6.429316e-02	-2.275365e-02	7.765334e-02	1.031198e-01	-2.546649e-02
31            	1.239599e-01	-1.342728e-01	9.128818e-02	1.696040e-01	-7.831582e-02
32            	1.597762e-01	-1.973108e-01	9.516091e-02	2.073567e-01	-1.121958e-01
33            	1.608800e-01	-1.931915e-01	8.821534e-02	2.049877e-01	-1.167723e-01
34            	1.378954e-01	-1.377856e-01	7.271686e-02	1.742538e-01	-1.015369e-01
