# Force coefficients
# liftDir     : (9.902681e-01 -1.391730e-01 0.000000e+00)
# dragDir     : (1.391730e-01 9.902681e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.907415e-01	9.633547e-01	8.682472e-02	-1.473292e-01	2.341539e-01
2             	-1.380114e-01	6.003921e-01	9.312893e-02	-9.144690e-02	1.845758e-01
3             	-1.477615e-01	6.055976e-01	2.804252e-02	-1.337402e-01	1.617828e-01
4             	-1.257198e-01	6.399277e-01	-2.326549e-02	-1.373526e-01	1.140871e-01
5             	-1.104350e-01	6.438444e-01	-4.933359e-02	-1.351018e-01	8.576819e-02
6             	-1.337596e-01	6.883707e-01	-5.816682e-02	-1.628430e-01	1.046762e-01
7             	-1.545205e-01	7.639223e-01	-6.519138e-02	-1.871162e-01	1.219248e-01
8             	-1.594642e-01	8.096607e-01	-6.954494e-02	-1.942367e-01	1.246918e-01
9             	-1.623603e-01	8.415656e-01	-7.327907e-02	-1.989998e-01	1.257208e-01
10            	-1.608502e-01	8.628321e-01	-7.795395e-02	-1.998271e-01	1.218732e-01
11            	-1.572402e-01	8.607099e-01	-7.859478e-02	-1.965376e-01	1.179428e-01
12            	-1.567565e-01	8.639935e-01	-7.843077e-02	-1.959719e-01	1.175411e-01
13            	-1.615581e-01	8.692640e-01	-7.714764e-02	-2.001319e-01	1.229843e-01
14            	-1.730040e-01	8.874196e-01	-7.619080e-02	-2.110994e-01	1.349086e-01
15            	-1.876718e-01	9.105359e-01	-7.539572e-02	-2.253696e-01	1.499739e-01
16            	-2.046098e-01	9.367596e-01	-7.451865e-02	-2.418691e-01	1.673505e-01
17            	-2.235520e-01	9.635975e-01	-7.369059e-02	-2.603973e-01	1.867067e-01
18            	-2.439930e-01	9.897870e-01	-7.265160e-02	-2.803188e-01	2.076671e-01
19            	-2.628916e-01	1.009330e+00	-7.092282e-02	-2.983531e-01	2.274302e-01
20            	-2.798300e-01	1.022644e+00	-6.861919e-02	-3.141396e-01	2.455204e-01
21            	-2.914370e-01	1.022335e+00	-6.532779e-02	-3.241009e-01	2.587731e-01
22            	-2.965436e-01	1.005440e+00	-6.082131e-02	-3.269543e-01	2.661330e-01
23            	-2.928465e-01	9.684835e-01	-5.479994e-02	-3.202465e-01	2.654465e-01
24            	-2.789708e-01	9.078199e-01	-4.667665e-02	-3.023091e-01	2.556325e-01
25            	-2.536737e-01	8.251267e-01	-3.634366e-02	-2.718455e-01	2.355019e-01
