# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.553601e-03
2             	1.125222e-01	1.407986e-02	1.124122e-01	2.415427e-01	3.569374e-03
3             	6.469730e-02	9.532475e-03	4.952547e-02	8.163690e-02	5.026628e-03
4             	7.035827e-02	9.134351e-03	2.911390e-02	3.135309e-02	2.204283e-03
5             	8.475890e-02	8.366037e-03	2.103930e-02	1.105247e-02	1.425121e-03
6             	6.515841e-02	7.389964e-03	1.265195e-02	4.410511e-03	9.338170e-04
7             	3.864047e-02	5.843117e-03	9.481816e-03	3.714229e-03	7.574279e-04
8             	2.885845e-02	5.196842e-03	8.087624e-03	3.351528e-03	6.425476e-04
9             	2.479659e-02	4.875679e-03	6.892001e-03	2.896556e-03	6.311458e-04
10            	2.300030e-02	4.614164e-03	6.032393e-03	2.741770e-03	5.813729e-04
11            	2.307066e-02	4.489230e-03	5.660033e-03	2.289969e-03	4.885886e-04
12            	2.602733e-02	4.356091e-03	5.444468e-03	2.129939e-03	9.742316e-04
13            	1.719264e-02	4.307539e-03	5.312043e-03	1.260465e-03	6.010242e-03
14            	1.637883e-02	4.305846e-03	5.124498e-03	9.997320e-04	1.129081e-03
15            	1.606104e-02	4.237415e-03	4.910191e-03	8.617528e-04	3.648487e-04
16            	1.483043e-02	4.229880e-03	4.880410e-03	8.755172e-04	2.662940e-04
17            	1.322331e-02	4.203759e-03	4.974110e-03	8.521789e-04	2.524704e-04
18            	1.271585e-02	4.142780e-03	5.037099e-03	9.199176e-04	2.733646e-04
19            	1.191851e-02	4.123796e-03	5.108841e-03	8.160023e-04	2.931931e-04
20            	1.182901e-02	4.095752e-03	5.250126e-03	7.566395e-04	3.027448e-04
21            	1.128792e-02	4.054439e-03	5.473037e-03	7.477231e-04	3.285866e-04
22            	1.076645e-02	4.041051e-03	5.645915e-03	7.901284e-04	3.442848e-04
23            	1.107532e-02	4.005364e-03	5.791675e-03	7.720526e-04	3.733782e-04
24            	1.145336e-02	3.984451e-03	6.064635e-03	7.478320e-04	3.895542e-04
25            	1.201024e-02	3.985798e-03	6.426946e-03	7.411910e-04	3.971029e-04
26            	1.276386e-02	4.047871e-03	7.060872e-03	7.308285e-04	4.057691e-04
27            	1.303141e-02	4.184134e-03	7.771129e-03	7.241996e-04	3.853885e-04
28            	1.270509e-02	4.374241e-03	8.947825e-03	7.056730e-04	3.715742e-04
29            	1.269646e-02	4.581768e-03	1.018558e-02	7.102969e-04	3.443391e-04
30            	1.235266e-02	4.884701e-03	1.204507e-02	7.316901e-04	3.307424e-04
31            	1.183056e-02	5.271965e-03	1.428138e-02	7.720278e-04	3.237525e-04
32            	1.121429e-02	5.767264e-03	1.714961e-02	8.402933e-04	3.125325e-04
33            	1.067135e-02	6.418652e-03	2.176234e-02	8.889532e-04	3.006965e-04
34            	1.072723e-02	7.074785e-03	2.824261e-02	9.673351e-04	2.868407e-04
35            	1.113580e-02	7.896095e-03	3.927724e-02	1.032608e-03	2.693376e-04
36            	1.220759e-02	8.647838e-03	5.396097e-02	1.098235e-03	2.551853e-04
37            	1.306637e-02	9.411819e-03	7.488738e-02	1.147884e-03	2.413974e-04
38            	1.482885e-02	1.047482e-02	9.165191e-02	1.210395e-03	2.392341e-04
39            	1.779276e-02	1.191096e-02	9.500976e-02	1.270556e-03	2.562142e-04
40            	2.003741e-02	1.407904e-02	9.988881e-02	1.366849e-03	2.616283e-04
41            	2.147986e-02	1.676718e-02	9.286720e-02	1.500014e-03	2.630575e-04
42            	2.229688e-02	2.042118e-02	7.054357e-02	1.673164e-03	2.614564e-04
43            	2.946940e-02	2.607258e-02	5.281929e-02	1.809408e-03	2.576203e-04
44            	2.813172e-02	3.292405e-02	4.145728e-02	1.940953e-03	2.520112e-04
45            	2.727321e-02	4.121876e-02	3.415997e-02	2.033820e-03	2.451585e-04
46            	2.553102e-02	5.303089e-02	2.906811e-02	2.150001e-03	2.389283e-04
47            	3.602596e-02	6.396898e-02	2.588880e-02	2.169920e-03	2.355082e-04
48            	4.549583e-02	7.329421e-02	2.303916e-02	2.237973e-03	2.328649e-04
49            	4.024107e-02	8.023437e-02	2.148652e-02	2.256817e-03	2.346789e-04
50            	4.687150e-02	8.211070e-02	2.056084e-02	2.228166e-03	2.340787e-04
51            	6.648569e-02	7.588898e-02	1.942804e-02	2.169711e-03	2.375911e-04
52            	7.453601e-02	6.811735e-02	1.980249e-02	2.179319e-03	2.402150e-04
53            	1.360021e-01	5.537708e-02	1.942792e-02	2.034224e-03	2.369342e-04
54            	1.199174e-01	4.368857e-02	1.818533e-02	1.959325e-03	2.482876e-04
55            	1.202145e-01	3.522561e-02	1.701472e-02	1.886393e-03	2.574875e-04
56            	1.290475e-01	2.930519e-02	1.634500e-02	1.756363e-03	2.749128e-04
57            	7.676045e-02	2.517042e-02	1.592214e-02	1.616476e-03	2.838999e-04
58            	5.223872e-02	2.220498e-02	1.578689e-02	1.466273e-03	2.943302e-04
59            	4.017776e-02	2.001917e-02	1.588715e-02	1.338972e-03	2.920860e-04
60            	3.292311e-02	1.835413e-02	1.598325e-02	1.247594e-03	2.981096e-04
61            	2.785703e-02	1.685082e-02	1.599394e-02	1.179493e-03	2.919045e-04
62            	2.371172e-02	1.529740e-02	1.578080e-02	1.108517e-03	2.913065e-04
63            	2.077427e-02	1.377755e-02	1.540655e-02	1.025957e-03	2.906085e-04
64            	1.924429e-02	1.231476e-02	1.504674e-02	9.436680e-04	2.954072e-04
65            	1.788526e-02	1.100271e-02	1.480225e-02	8.711551e-04	2.984803e-04
66            	1.728693e-02	9.777907e-03	1.471203e-02	8.240265e-04	3.045539e-04
67            	1.621335e-02	8.598388e-03	1.468722e-02	7.951040e-04	3.086734e-04
68            	1.522045e-02	7.643371e-03	1.479369e-02	7.847767e-04	3.131445e-04
69            	1.409686e-02	6.741743e-03	1.503399e-02	7.786393e-04	3.066133e-04
70            	1.336110e-02	6.055522e-03	1.555579e-02	7.879396e-04	3.113382e-04
71            	1.257750e-02	5.491773e-03	1.641276e-02	8.230026e-04	3.143142e-04
72            	1.163584e-02	5.077714e-03	1.776704e-02	8.529070e-04	3.017738e-04
73            	1.088401e-02	4.791431e-03	1.974080e-02	8.828401e-04	2.957780e-04
74            	1.020194e-02	4.625061e-03	2.235665e-02	8.939771e-04	2.940805e-04
75            	9.719606e-03	4.547157e-03	2.590824e-02	9.175189e-04	2.898263e-04
76            	9.196060e-03	4.582490e-03	3.054775e-02	9.317467e-04	2.887103e-04
77            	9.019617e-03	4.662817e-03	3.738813e-02	9.667985e-04	2.897197e-04
78            	8.730547e-03	4.916357e-03	4.730447e-02	1.014375e-03	3.119054e-04
79            	8.525384e-03	5.295678e-03	6.290837e-02	1.049943e-03	3.203301e-04
80            	8.555438e-03	5.794366e-03	7.600083e-02	1.086772e-03	3.178057e-04
81            	8.911997e-03	6.561847e-03	6.767811e-02	1.111609e-03	3.148542e-04
82            	1.005791e-02	7.432748e-03	5.766493e-02	1.131962e-03	3.055670e-04
83            	1.129415e-02	8.400028e-03	5.358299e-02	1.146688e-03	3.101991e-04
84            	1.310169e-02	9.511228e-03	5.370522e-02	1.162395e-03	3.103271e-04
85            	1.482688e-02	1.091717e-02	5.976177e-02	1.186901e-03	3.181793e-04
86            	1.602216e-02	1.208817e-02	6.742867e-02	1.215441e-03	3.221297e-04
87            	1.789732e-02	1.403517e-02	9.100252e-02	1.232120e-03	3.293556e-04
88            	1.833775e-02	1.592749e-02	1.071830e-01	1.264203e-03	3.395337e-04
89            	1.952481e-02	1.882854e-02	6.843154e-02	1.333044e-03	3.457790e-04
90            	2.144247e-02	2.204733e-02	4.618382e-02	1.407056e-03	3.487458e-04
91            	2.288852e-02	2.497724e-02	3.505374e-02	1.466349e-03	3.498175e-04
92            	2.249570e-02	2.864177e-02	2.891492e-02	1.564864e-03	3.570068e-04
93            	2.519125e-02	3.126142e-02	2.448982e-02	1.694640e-03	3.500491e-04
94            	3.034393e-02	3.227773e-02	2.153134e-02	1.809366e-03	3.466111e-04
