# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.545926e-03
2             	1.078912e-01	1.398819e-02	1.153653e-01	2.417500e-01	3.500649e-03
3             	6.393548e-02	9.157491e-03	4.998331e-02	8.175026e-02	4.906482e-03
4             	7.052366e-02	8.642927e-03	2.906110e-02	3.143173e-02	2.233870e-03
5             	8.998542e-02	7.721164e-03	2.084185e-02	1.109699e-02	1.376982e-03
6             	7.816683e-02	6.899324e-03	1.348769e-02	4.452077e-03	9.794823e-04
7             	4.924211e-02	5.739389e-03	1.002498e-02	3.730175e-03	7.654830e-04
8             	3.564355e-02	5.046161e-03	8.326278e-03	3.231779e-03	6.234062e-04
9             	2.900516e-02	4.791657e-03	7.124188e-03	2.866703e-03	6.268606e-04
10            	2.640911e-02	4.581211e-03	6.173501e-03	2.997637e-03	5.417669e-04
11            	2.477331e-02	4.385417e-03	5.742866e-03	2.004210e-03	5.288643e-04
12            	2.531937e-02	4.201582e-03	5.488004e-03	1.638057e-03	8.229448e-04
13            	1.706522e-02	4.142327e-03	5.495968e-03	1.201381e-03	2.868614e-03
14            	1.591069e-02	4.061495e-03	5.211734e-03	1.010438e-03	5.764992e-04
15            	1.551125e-02	4.024893e-03	5.219320e-03	9.436859e-04	2.946313e-04
16            	1.437233e-02	4.011252e-03	5.277938e-03	1.011153e-03	3.050547e-04
17            	1.290060e-02	4.035650e-03	5.353581e-03	9.956618e-04	3.539364e-04
18            	1.202040e-02	4.009852e-03	5.427666e-03	9.117321e-04	3.695826e-04
19            	1.119539e-02	3.969421e-03	5.532982e-03	8.726859e-04	3.852357e-04
20            	1.107432e-02	3.937192e-03	5.700306e-03	8.462669e-04	4.009400e-04
21            	1.073252e-02	3.950339e-03	5.847090e-03	8.648543e-04	4.002441e-04
22            	1.074753e-02	3.985055e-03	6.049495e-03	8.512476e-04	4.066966e-04
