# Force coefficients
# liftDir     : (9.781476e-01 -2.079119e-01 0.000000e+00)
# dragDir     : (2.079119e-01 9.781476e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.321577e-01	1.259506e+00	-5.474832e-02	-2.595318e-01	2.047835e-01
2             	-2.082213e-01	8.883241e-01	2.815572e-02	-1.941435e-01	2.222992e-01
3             	-2.169802e-01	9.531702e-01	-3.900057e-02	-2.364804e-01	1.974799e-01
4             	-1.792918e-01	1.058240e+00	-1.105244e-01	-2.345540e-01	1.240296e-01
5             	-1.487189e-01	1.086942e+00	-1.415827e-01	-2.195102e-01	7.792758e-02
6             	-1.715586e-01	1.194665e+00	-1.637731e-01	-2.534452e-01	8.967205e-02
7             	-1.780629e-01	1.346789e+00	-2.046608e-01	-2.803932e-01	7.573248e-02
8             	-1.465085e-01	1.383929e+00	-2.387860e-01	-2.659015e-01	2.711549e-02
9             	-1.090018e-01	1.329287e+00	-2.447261e-01	-2.313649e-01	-1.336121e-02
10            	-9.108043e-02	1.315008e+00	-2.489074e-01	-2.155341e-01	-3.337328e-02
11            	-7.677356e-02	1.276799e+00	-2.427054e-01	-1.981263e-01	-4.457916e-02
12            	-8.296044e-02	1.273734e+00	-2.364052e-01	-2.011631e-01	-3.524218e-02
13            	-9.663987e-02	1.278838e+00	-2.313702e-01	-2.123250e-01	-1.904525e-02
14            	-1.161502e-01	1.293122e+00	-2.269334e-01	-2.296169e-01	2.683542e-03
15            	-1.370210e-01	1.297921e+00	-2.216803e-01	-2.478611e-01	2.618083e-02
16            	-1.592575e-01	1.289009e+00	-2.140835e-01	-2.662993e-01	5.221572e-02
17            	-1.846959e-01	1.273175e+00	-2.046102e-01	-2.870010e-01	8.239074e-02
18            	-2.154765e-01	1.255640e+00	-1.934190e-01	-3.121860e-01	1.187671e-01
19            	-2.494541e-01	1.234119e+00	-1.797948e-01	-3.393515e-01	1.595567e-01
20            	-2.826879e-01	1.206933e+00	-1.639765e-01	-3.646762e-01	2.006996e-01
21            	-3.090531e-01	1.164491e+00	-1.454299e-01	-3.817681e-01	2.363382e-01
22            	-3.231757e-01	1.098401e+00	-1.234652e-01	-3.849083e-01	2.614431e-01
23            	-3.181612e-01	1.000933e+00	-9.821453e-02	-3.672685e-01	2.690539e-01
24            	-2.887400e-01	8.625097e-01	-6.860914e-02	-3.230446e-01	2.544355e-01
25            	-2.369399e-01	6.947129e-01	-3.720860e-02	-2.555442e-01	2.183356e-01
26            	-1.695699e-01	5.155598e-01	-6.535411e-03	-1.728376e-01	1.663022e-01
27            	-8.963510e-02	3.277454e-01	2.271070e-02	-7.827974e-02	1.009904e-01
28            	-4.397652e-03	1.400212e-01	5.008020e-02	2.064245e-02	2.943775e-02
29            	7.056009e-02	-1.268792e-02	7.038376e-02	1.057520e-01	-3.536821e-02
30            	1.278041e-01	-1.201660e-01	8.100617e-02	1.683072e-01	-8.730102e-02
31            	1.582635e-01	-1.760878e-01	8.282615e-02	1.996766e-01	-1.168504e-01
32            	1.555320e-01	-1.657326e-01	7.502697e-02	1.930455e-01	-1.180185e-01
33            	1.287633e-01	-1.016360e-01	5.904387e-02	1.582852e-01	-9.924135e-02
