# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.506087e-03
2             	9.371435e-02	1.372185e-02	1.353017e-01	2.390633e-01	3.217571e-03
3             	6.355314e-02	8.268877e-03	5.426136e-02	8.024572e-02	4.277417e-03
4             	8.291147e-02	7.698847e-03	3.049837e-02	3.046738e-02	1.797007e-03
5             	1.099318e-01	6.890073e-03	2.264290e-02	1.086210e-02	1.393616e-03
6             	1.698651e-01	7.003558e-03	1.621147e-02	4.581456e-03	1.223027e-03
7             	1.604609e-01	5.568406e-03	1.192784e-02	3.792108e-03	9.277485e-04
8             	1.326229e-01	5.001877e-03	9.524848e-03	3.247905e-03	6.218761e-04
9             	8.243247e-02	4.408676e-03	7.910285e-03	2.668789e-03	4.652813e-04
10            	5.827580e-02	4.220200e-03	6.489151e-03	1.698849e-03	4.000388e-04
11            	4.883697e-02	4.183346e-03	5.834795e-03	1.268451e-03	3.793143e-04
12            	3.970751e-02	4.106940e-03	5.378407e-03	1.173255e-03	4.775358e-04
13            	3.451416e-02	4.150887e-03	5.276686e-03	1.168345e-03	3.947317e-04
14            	2.660767e-02	4.256783e-03	5.337647e-03	1.227466e-03	4.269452e-04
15            	2.390838e-02	4.145089e-03	5.212732e-03	1.126286e-03	4.488320e-04
16            	2.192140e-02	4.063329e-03	5.298563e-03	1.143337e-03	4.593770e-04
17            	2.111350e-02	4.015039e-03	5.556202e-03	1.198759e-03	4.722601e-04
18            	2.073004e-02	4.040302e-03	5.957462e-03	1.184504e-03	4.751023e-04
19            	1.812069e-02	4.116370e-03	6.544641e-03	1.186267e-03	4.584570e-04
20            	1.620035e-02	4.222011e-03	7.238939e-03	1.162029e-03	4.341744e-04
21            	1.508295e-02	4.364040e-03	8.140565e-03	1.129177e-03	4.090355e-04
22            	1.421686e-02	4.591780e-03	9.307016e-03	1.047260e-03	3.748018e-04
23            	1.356213e-02	4.780527e-03	1.068922e-02	1.016096e-03	3.534030e-04
24            	1.344263e-02	5.030532e-03	1.260565e-02	9.833720e-04	3.328537e-04
25            	1.327381e-02	5.255336e-03	1.525804e-02	9.733897e-04	3.102599e-04
26            	1.280872e-02	5.432809e-03	1.891444e-02	9.848651e-04	2.977773e-04
27            	1.295282e-02	5.523521e-03	2.397813e-02	1.037951e-03	3.124837e-04
28            	1.163956e-02	5.868881e-03	3.116311e-02	1.080633e-03	3.197641e-04
29            	1.075078e-02	5.514040e-03	4.134195e-02	1.132160e-03	3.163852e-04
30            	1.044925e-02	5.276004e-03	5.832426e-02	1.173018e-03	3.199010e-04
31            	1.061539e-02	5.415843e-03	8.455498e-02	1.237668e-03	3.077686e-04
32            	1.076463e-02	5.613412e-03	6.136076e-02	1.324091e-03	2.847524e-04
33            	1.143953e-02	6.185224e-03	4.666471e-02	1.413539e-03	2.784382e-04
34            	1.480461e-02	7.196872e-03	4.202723e-02	1.464252e-03	2.847726e-04
35            	1.600359e-02	8.625695e-03	4.172072e-02	1.400840e-03	2.847434e-04
36            	1.728509e-02	1.050528e-02	4.446773e-02	1.406773e-03	2.759761e-04
37            	1.999770e-02	1.303252e-02	5.315692e-02	1.554872e-03	2.755761e-04
38            	2.129285e-02	1.601657e-02	7.424126e-02	1.725304e-03	2.611925e-04
39            	2.337700e-02	1.908647e-02	1.041332e-01	1.822419e-03	2.587458e-04
40            	2.275235e-02	2.279417e-02	6.840685e-02	1.976421e-03	2.547787e-04
41            	2.873486e-02	2.544142e-02	4.621680e-02	1.930251e-03	2.468472e-04
42            	3.801515e-02	2.743011e-02	3.474746e-02	1.929360e-03	2.353098e-04
43            	4.718258e-02	2.784441e-02	2.878677e-02	1.878258e-03	2.266924e-04
44            	6.715125e-02	2.616154e-02	2.545518e-02	1.774082e-03	2.249063e-04
45            	9.551317e-02	2.317542e-02	2.260924e-02	1.702511e-03	2.221872e-04
46            	9.441112e-02	2.061814e-02	2.047204e-02	1.548239e-03	2.153796e-04
47            	7.994306e-02	1.813272e-02	1.869674e-02	1.414864e-03	2.114852e-04
48            	6.801343e-02	1.605588e-02	1.720759e-02	1.284629e-03	2.090659e-04
