# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.372985e-03
2             	3.534000e-01	1.454548e-02	3.727313e-01	2.218678e-01	3.344923e-03
3             	6.616622e-02	6.561546e-03	2.692485e-01	5.642811e-02	2.495962e-03
4             	7.586292e-02	4.495256e-03	1.058239e-01	2.016483e-02	1.573566e-03
5             	5.959524e-02	3.473559e-03	5.439045e-02	7.848837e-03	1.053697e-03
6             	7.405921e-02	2.682604e-03	3.498518e-02	3.818808e-03	7.720796e-04
7             	8.524668e-02	2.287896e-03	2.487448e-02	3.065150e-03	6.726531e-04
8             	8.082223e-02	2.010408e-03	2.026375e-02	2.407206e-03	5.185344e-04
9             	7.784580e-02	1.901151e-03	1.714151e-02	1.817323e-03	4.688198e-04
10            	6.083501e-02	1.827394e-03	1.495137e-02	1.401254e-03	4.219394e-04
11            	5.302344e-02	1.751019e-03	1.307654e-02	1.074788e-03	3.739107e-04
12            	5.036295e-02	1.734289e-03	1.222372e-02	9.314673e-04	3.461691e-04
13            	5.471515e-02	1.796397e-03	1.192641e-02	7.750156e-04	3.187607e-04
14            	7.369482e-02	1.970501e-03	1.233237e-02	7.308537e-04	3.067797e-04
15            	6.129721e-02	2.166168e-03	1.269753e-02	6.730648e-04	2.759591e-04
16            	4.020751e-02	2.343657e-03	1.292266e-02	6.543786e-04	2.548431e-04
17            	3.129295e-02	2.466639e-03	1.277890e-02	6.390321e-04	2.414424e-04
18            	2.684432e-02	2.524977e-03	1.205778e-02	6.278136e-04	2.352459e-04
19            	2.478594e-02	2.519734e-03	1.110806e-02	5.953702e-04	2.278533e-04
20            	2.608446e-02	2.518266e-03	1.033395e-02	5.654515e-04	2.181600e-04
21            	2.776300e-02	2.557380e-03	9.997379e-03	5.462905e-04	1.969484e-04
22            	2.976514e-02	2.718858e-03	1.025102e-02	5.417583e-04	1.844856e-04
23            	3.231649e-02	3.003761e-03	1.188745e-02	5.269073e-04	1.651663e-04
24            	3.557092e-02	3.313343e-03	1.534108e-02	4.993592e-04	1.497462e-04
25            	4.305544e-02	3.548329e-03	1.995345e-02	4.665732e-04	1.387896e-04
26            	5.161103e-02	3.679777e-03	2.673165e-02	4.363392e-04	1.267460e-04
27            	4.763419e-02	3.850140e-03	3.837665e-02	4.151080e-04	1.185945e-04
28            	3.897232e-02	3.978232e-03	5.333224e-02	3.949063e-04	1.112310e-04
29            	3.211022e-02	3.993303e-03	3.360196e-02	3.850151e-04	1.053290e-04
30            	2.762381e-02	4.049742e-03	2.320082e-02	3.738239e-04	1.000759e-04
31            	2.446738e-02	4.137008e-03	1.885447e-02	3.608673e-04	9.527840e-05
32            	2.409520e-02	4.225457e-03	1.625231e-02	3.501275e-04	8.951023e-05
33            	2.368180e-02	4.386994e-03	1.444842e-02	3.401328e-04	8.559739e-05
34            	2.167096e-02	4.543470e-03	1.367141e-02	3.246546e-04	8.223722e-05
35            	1.860297e-02	4.538157e-03	1.339191e-02	3.061986e-04	7.888507e-05
36            	1.654759e-02	4.401182e-03	1.331690e-02	2.910443e-04	7.574456e-05
37            	1.475358e-02	4.197182e-03	1.327677e-02	2.785670e-04	7.268404e-05
38            	1.351941e-02	3.928074e-03	1.318994e-02	2.717020e-04	7.042558e-05
39            	1.236772e-02	3.627579e-03	1.301016e-02	2.638149e-04	6.855907e-05
40            	1.181969e-02	3.321238e-03	1.281029e-02	2.500397e-04	6.572003e-05
41            	1.117324e-02	3.036058e-03	1.266486e-02	2.382791e-04	6.380602e-05
42            	1.043805e-02	2.792153e-03	1.259010e-02	2.250497e-04	6.185046e-05
43            	9.639636e-03	2.587509e-03	1.258641e-02	2.144839e-04	6.002632e-05
