# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.376893e-03
2             	4.080508e-01	1.468514e-02	3.393187e-01	2.164956e-01	3.547754e-03
3             	5.346756e-02	6.505247e-03	2.628678e-01	5.376150e-02	2.405637e-03
4             	1.058931e-01	4.519018e-03	1.601048e-01	1.901941e-02	1.494843e-03
5             	6.396915e-02	3.562089e-03	1.088994e-01	7.021617e-03	1.068795e-03
6             	8.045763e-02	2.667972e-03	9.899698e-02	3.889424e-03	8.041040e-04
7             	8.838005e-02	2.320620e-03	9.777721e-02	2.997756e-03	6.391199e-04
8             	7.363136e-02	1.950451e-03	5.950332e-02	2.361772e-03	5.115478e-04
9             	6.725098e-02	1.781280e-03	3.933348e-02	1.715489e-03	4.367936e-04
10            	5.673400e-02	1.665380e-03	2.937747e-02	1.406607e-03	3.923882e-04
11            	4.266261e-02	1.599123e-03	2.344883e-02	1.021839e-03	3.533065e-04
12            	4.131839e-02	1.658721e-03	2.270125e-02	9.083728e-04	3.051070e-04
13            	4.041452e-02	1.763330e-03	2.538767e-02	7.305628e-04	2.793455e-04
14            	5.128876e-02	1.948628e-03	3.497844e-02	6.817967e-04	2.598855e-04
15            	8.112472e-02	2.071450e-03	6.376539e-02	6.274514e-04	2.483738e-04
16            	5.035527e-02	2.148994e-03	4.938854e-02	6.314285e-04	2.397991e-04
17            	3.412858e-02	2.181190e-03	2.715119e-02	6.402246e-04	2.361756e-04
18            	2.737765e-02	2.214145e-03	1.875858e-02	6.455567e-04	2.305289e-04
19            	2.288997e-02	2.267319e-03	1.484494e-02	6.307372e-04	2.325078e-04
20            	2.154317e-02	2.379880e-03	1.265499e-02	5.986313e-04	2.279237e-04
21            	2.222562e-02	2.519843e-03	1.130226e-02	5.533898e-04	2.010024e-04
22            	2.477510e-02	2.792556e-03	1.076649e-02	5.294779e-04	1.805636e-04
23            	3.256911e-02	3.320931e-03	1.071408e-02	5.052166e-04	1.624495e-04
24            	4.840324e-02	3.955281e-03	1.157435e-02	4.742858e-04	1.472735e-04
25            	7.065106e-02	4.506222e-03	1.311048e-02	4.460420e-04	1.325959e-04
26            	5.003099e-02	4.905350e-03	1.513980e-02	4.143985e-04	1.197039e-04
27            	4.179681e-02	5.233654e-03	1.835345e-02	3.960938e-04	1.120225e-04
28            	3.456317e-02	5.542301e-03	2.400544e-02	3.779730e-04	1.049534e-04
29            	3.161313e-02	5.686795e-03	3.487715e-02	3.662723e-04	9.774554e-05
30            	2.888901e-02	5.633885e-03	5.637535e-02	3.532887e-04	9.282584e-05
31            	2.570421e-02	5.532506e-03	5.313976e-02	3.404998e-04	9.006829e-05
32            	2.290587e-02	5.403902e-03	3.233817e-02	3.270687e-04	8.603582e-05
33            	2.334882e-02	5.203423e-03	2.417674e-02	3.201617e-04	8.275725e-05
34            	2.213273e-02	5.087888e-03	1.950785e-02	3.046748e-04	7.909060e-05
35            	1.962177e-02	5.032120e-03	1.669821e-02	2.867922e-04	7.640008e-05
36            	1.651645e-02	4.868724e-03	1.517239e-02	2.630207e-04	7.295338e-05
37            	1.440581e-02	4.574543e-03	1.428529e-02	2.483267e-04	7.033588e-05
38            	1.319306e-02	4.184217e-03	1.374536e-02	2.429703e-04	6.832977e-05
39            	1.206587e-02	3.772551e-03	1.330364e-02	2.357443e-04	6.595743e-05
40            	1.123291e-02	3.397598e-03	1.283754e-02	2.315096e-04	6.418877e-05
41            	1.055937e-02	3.113725e-03	1.235097e-02	2.232537e-04	6.266499e-05
42            	9.748695e-03	2.880792e-03	1.193520e-02	2.144270e-04	6.059625e-05
