# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.496420e-03
2             	9.300817e-02	1.372856e-02	1.408835e-01	2.383368e-01	3.139199e-03
3             	6.694507e-02	8.199822e-03	5.586192e-02	7.957558e-02	4.227896e-03
4             	9.159216e-02	7.623986e-03	3.074351e-02	2.955448e-02	1.783743e-03
5             	1.189971e-01	6.743341e-03	2.287734e-02	1.081735e-02	1.464802e-03
6             	1.759654e-01	6.575385e-03	1.650756e-02	4.542961e-03	1.147295e-03
7             	1.368805e-01	5.401024e-03	1.214836e-02	3.883788e-03	9.924366e-04
8             	1.480228e-01	4.831264e-03	9.945569e-03	3.204487e-03	6.363268e-04
9             	1.390896e-01	4.336146e-03	8.134194e-03	2.538316e-03	4.588302e-04
10            	8.668326e-02	4.203662e-03	6.838662e-03	1.624704e-03	3.998969e-04
11            	6.387847e-02	4.202806e-03	6.238524e-03	1.330569e-03	3.643765e-04
12            	5.184051e-02	4.179624e-03	5.762134e-03	1.282699e-03	4.264052e-04
13            	4.481729e-02	4.214399e-03	5.669546e-03	1.233881e-03	5.231970e-04
14            	3.280475e-02	4.236371e-03	5.703741e-03	1.244925e-03	7.200917e-04
15            	2.907104e-02	4.275216e-03	5.987983e-03	1.368517e-03	6.825855e-04
16            	2.607817e-02	4.354606e-03	6.418582e-03	1.375929e-03	5.521787e-04
17            	2.275501e-02	4.422569e-03	6.946166e-03	1.323993e-03	5.047339e-04
18            	1.977666e-02	4.489395e-03	7.628882e-03	1.296364e-03	4.498080e-04
19            	1.734895e-02	4.586540e-03	8.543886e-03	1.244406e-03	4.181808e-04
20            	1.607419e-02	4.746112e-03	9.653856e-03	1.173463e-03	3.703206e-04
21            	1.525467e-02	4.930032e-03	1.116262e-02	1.089025e-03	3.511589e-04
22            	1.467685e-02	5.078898e-03	1.320403e-02	1.059435e-03	3.263011e-04
23            	1.391806e-02	5.207760e-03	1.599630e-02	1.039073e-03	3.102908e-04
24            	1.320132e-02	5.211337e-03	1.950304e-02	1.052715e-03	2.999633e-04
25            	1.246034e-02	5.140853e-03	2.363897e-02	1.073877e-03	3.090158e-04
26            	1.170938e-02	5.168557e-03	3.012201e-02	1.081730e-03	3.159678e-04
27            	1.048052e-02	5.331944e-03	3.996122e-02	1.111407e-03	3.247164e-04
28            	1.006591e-02	5.081151e-03	5.927652e-02	1.146462e-03	3.194317e-04
29            	9.773051e-03	5.073814e-03	7.857984e-02	1.205681e-03	2.957244e-04
30            	9.828630e-03	5.267043e-03	5.203600e-02	1.235158e-03	2.790341e-04
31            	1.115465e-02	5.756532e-03	3.978851e-02	1.317790e-03	2.752897e-04
32            	1.243310e-02	6.519386e-03	3.508864e-02	1.350345e-03	2.733386e-04
33            	1.440851e-02	7.783755e-03	3.389323e-02	1.308080e-03	2.761640e-04
34            	1.677703e-02	9.505642e-03	3.602015e-02	1.214018e-03	2.739722e-04
35            	1.824861e-02	1.176794e-02	4.186739e-02	1.294422e-03	2.671737e-04
