# Force coefficients
# liftDir     : (9.848078e-01 -1.736480e-01 0.000000e+00)
# dragDir     : (1.736480e-01 9.848078e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.199811e-01	1.139960e+00	1.832382e-02	-2.108192e-01	2.291430e-01
2             	-1.749272e-01	7.471297e-01	6.508047e-02	-1.423869e-01	2.074674e-01
3             	-1.836853e-01	7.753979e-01	1.329034e-05	-1.836787e-01	1.836920e-01
4             	-1.537335e-01	8.347411e-01	-5.909902e-02	-1.832830e-01	1.241840e-01
5             	-1.373033e-01	8.490331e-01	-8.668860e-02	-1.806476e-01	9.395900e-02
6             	-1.692352e-01	9.274792e-01	-9.814981e-02	-2.183101e-01	1.201603e-01
7             	-1.902459e-01	1.054459e+00	-1.179168e-01	-2.492043e-01	1.312874e-01
8             	-1.779990e-01	1.098773e+00	-1.333563e-01	-2.446772e-01	1.113209e-01
9             	-1.670269e-01	1.105159e+00	-1.375776e-01	-2.358157e-01	9.823806e-02
10            	-1.515471e-01	1.109778e+00	-1.421009e-01	-2.225976e-01	8.049666e-02
11            	-1.410849e-01	1.090890e+00	-1.408154e-01	-2.114926e-01	7.067721e-02
12            	-1.395331e-01	1.087022e+00	-1.400225e-01	-2.095444e-01	6.952189e-02
13            	-1.443979e-01	1.082516e+00	-1.382160e-01	-2.135059e-01	7.528989e-02
14            	-1.565578e-01	1.082676e+00	-1.357376e-01	-2.244266e-01	8.868896e-02
15            	-1.723399e-01	1.084657e+00	-1.334728e-01	-2.390763e-01	1.056035e-01
16            	-1.901875e-01	1.083287e+00	-1.305357e-01	-2.554554e-01	1.249197e-01
17            	-2.103991e-01	1.076621e+00	-1.259359e-01	-2.733671e-01	1.474312e-01
18            	-2.326406e-01	1.066639e+00	-1.192474e-01	-2.922643e-01	1.730169e-01
19            	-2.534248e-01	1.050678e+00	-1.114299e-01	-3.091397e-01	1.977098e-01
20            	-2.699778e-01	1.022163e+00	-1.013808e-01	-3.206682e-01	2.192874e-01
21            	-2.774365e-01	9.722341e-01	-8.788283e-02	-3.213779e-01	2.334951e-01
22            	-2.729218e-01	9.010668e-01	-7.169252e-02	-3.087681e-01	2.370756e-01
23            	-2.515418e-01	8.028791e-01	-5.291166e-02	-2.779977e-01	2.250860e-01
24            	-2.109975e-01	6.773627e-01	-3.232130e-02	-2.271581e-01	1.948368e-01
25            	-1.534463e-01	5.307399e-01	-1.112875e-02	-1.590107e-01	1.478819e-01
26            	-8.368340e-02	3.714292e-01	9.603109e-03	-7.888185e-02	8.848496e-02
27            	-8.130268e-03	2.088617e-01	2.909425e-02	6.416857e-03	2.267739e-02
28            	6.316086e-02	6.285290e-02	4.510763e-02	8.571468e-02	-4.060705e-02
29            	1.218965e-01	-5.528192e-02	5.619628e-02	1.499946e-01	-9.379836e-02
30            	1.539537e-01	-1.153149e-01	5.888163e-02	1.833946e-01	-1.245129e-01
31            	1.605989e-01	-1.271021e-01	5.596168e-02	1.885798e-01	-1.326181e-01
32            	1.400879e-01	-8.160720e-02	4.647003e-02	1.633229e-01	-1.168529e-01
33            	1.030559e-01	6.000196e-03	3.092787e-02	1.185198e-01	-8.759197e-02
34            	5.580956e-02	1.310438e-01	9.186068e-03	6.040259e-02	-5.121653e-02
35            	1.294641e-02	2.576013e-01	-1.434897e-02	5.771920e-03	-2.012089e-02
36            	-1.652188e-02	3.552147e-01	-3.526353e-02	-3.415365e-02	-1.109884e-03
37            	-3.531835e-02	4.247953e-01	-5.261210e-02	-6.162440e-02	9.012296e-03
38            	-4.713659e-02	4.693689e-01	-6.502696e-02	-7.965008e-02	1.462311e-02
39            	-5.499218e-02	4.956738e-01	-7.260618e-02	-9.129527e-02	1.868909e-02
40            	-6.415828e-02	5.182308e-01	-7.729516e-02	-1.028059e-01	2.551069e-02
41            	-7.788002e-02	5.431698e-01	-8.115063e-02	-1.184553e-01	3.730471e-02
42            	-8.999562e-02	5.601637e-01	-8.362508e-02	-1.318082e-01	4.818309e-02
43            	-9.876915e-02	5.688131e-01	-8.449559e-02	-1.410169e-01	5.652136e-02
44            	-1.022126e-01	5.664130e-01	-8.373267e-02	-1.440790e-01	6.034631e-02
45            	-9.670401e-02	5.471429e-01	-8.108929e-02	-1.372487e-01	5.615937e-02
46            	-8.240278e-02	5.125419e-01	-7.662948e-02	-1.207175e-01	4.408804e-02
47            	-5.914610e-02	4.632267e-01	-7.060334e-02	-9.444776e-02	2.384443e-02
48            	-2.870731e-02	4.026375e-01	-6.348437e-02	-6.044950e-02	-3.034872e-03
49            	6.547417e-03	3.354844e-01	-5.600005e-02	-2.145261e-02	-3.454744e-02
50            	4.456805e-02	2.668004e-01	-4.902291e-02	2.005660e-02	-6.907951e-02
51            	8.118482e-02	2.033569e-01	-4.352876e-02	5.942044e-02	-1.029492e-01
52            	1.130067e-01	1.512226e-01	-4.042958e-02	9.279194e-02	-1.332215e-01
53            	1.329525e-01	1.251512e-01	-4.149306e-02	1.122060e-01	-1.536991e-01
54            	1.364792e-01	1.334523e-01	-4.763544e-02	1.126615e-01	-1.602969e-01
55            	1.193003e-01	1.849421e-01	-5.969438e-02	8.945316e-02	-1.491475e-01
