# Force coefficients
# liftDir     : (9.993908e-01 -3.489949e-02 0.000000e+00)
# dragDir     : (3.489949e-02 9.993908e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-5.177368e-02	2.566820e-01	2.118481e-01	5.415036e-02	1.576977e-01
2             	-3.364737e-02	1.572608e-01	1.364436e-01	3.457446e-02	1.018692e-01
3             	-3.822632e-02	1.479160e-01	6.226244e-02	-7.095093e-03	6.935754e-02
4             	-4.184371e-02	1.521448e-01	2.097541e-02	-3.135600e-02	5.233142e-02
5             	-4.353168e-02	1.552736e-01	4.014438e-03	-4.152446e-02	4.553890e-02
6             	-4.835730e-02	1.621159e-01	2.386702e-03	-4.716395e-02	4.955065e-02
7             	-5.795466e-02	1.788323e-01	6.752692e-03	-5.457832e-02	6.133101e-02
8             	-7.171608e-02	2.065267e-01	1.176025e-02	-6.583595e-02	7.759621e-02
9             	-8.738538e-02	2.433720e-01	1.490771e-02	-7.993152e-02	9.483923e-02
10            	-1.032142e-01	2.832010e-01	1.585068e-02	-9.528887e-02	1.111396e-01
11            	-1.176459e-01	3.243635e-01	1.512254e-02	-1.100847e-01	1.252072e-01
12            	-1.281937e-01	3.594899e-01	1.335294e-02	-1.215173e-01	1.348702e-01
13            	-1.355769e-01	3.891256e-01	1.110570e-02	-1.300240e-01	1.411297e-01
14            	-1.394832e-01	4.116875e-01	8.767840e-03	-1.350993e-01	1.438671e-01
15            	-1.395404e-01	4.249593e-01	6.528858e-03	-1.362760e-01	1.428049e-01
16            	-1.335293e-01	4.238664e-01	4.665891e-03	-1.311964e-01	1.358623e-01
17            	-1.238376e-01	4.126232e-01	3.400029e-03	-1.221376e-01	1.255376e-01
18            	-1.081307e-01	3.869100e-01	2.704234e-03	-1.067786e-01	1.094829e-01
19            	-8.652420e-02	3.474274e-01	2.958108e-03	-8.504514e-02	8.800325e-02
20            	-5.982309e-02	2.960232e-01	3.864417e-03	-5.789088e-02	6.175529e-02
21            	-2.934719e-02	2.354274e-01	5.381022e-03	-2.665668e-02	3.203770e-02
22            	1.179137e-03	1.739021e-01	6.778109e-03	4.568191e-03	2.209918e-03
23            	2.966260e-02	1.163605e-01	7.481085e-03	3.340315e-02	-2.592206e-02
24            	5.285529e-02	7.022514e-02	7.115452e-03	5.641301e-02	-4.929756e-02
25            	6.639482e-02	4.367297e-02	5.892457e-03	6.934104e-02	-6.344859e-02
26            	6.359196e-02	4.927447e-02	4.402360e-03	6.579314e-02	-6.139078e-02
27            	5.273668e-02	7.081171e-02	2.919496e-03	5.419643e-02	-5.127693e-02
28            	4.212210e-02	9.178165e-02	1.734691e-03	4.298944e-02	-4.125475e-02
29            	3.314111e-02	1.095142e-01	9.682802e-04	3.362525e-02	-3.265697e-02
30            	2.570398e-02	1.246180e-01	4.396433e-04	2.592380e-02	-2.548416e-02
31            	1.967032e-02	1.374474e-01	3.867681e-05	1.968966e-02	-1.965098e-02
32            	1.496959e-02	1.480242e-01	-3.019902e-04	1.481860e-02	-1.512059e-02
33            	1.138430e-02	1.565089e-01	-6.044814e-04	1.108206e-02	-1.168654e-02
34            	8.499035e-03	1.636313e-01	-8.665030e-04	8.065783e-03	-8.932286e-03
35            	6.178612e-03	1.694918e-01	-1.084361e-03	5.636432e-03	-6.720793e-03
36            	4.367125e-03	1.742370e-01	-1.242031e-03	3.746110e-03	-4.988140e-03
37            	2.890664e-03	1.782711e-01	-1.377786e-03	2.201772e-03	-3.579557e-03
38            	1.773811e-03	1.815437e-01	-1.487404e-03	1.030109e-03	-2.517513e-03
39            	9.515978e-04	1.841703e-01	-1.580265e-03	1.614651e-04	-1.741730e-03
40            	3.589270e-04	1.863432e-01	-1.666806e-03	-4.744759e-04	-1.192330e-03
41            	-9.363164e-06	1.880255e-01	-1.736561e-03	-8.776436e-04	-8.589173e-04
42            	-2.687600e-04	1.895202e-01	-1.806397e-03	-1.171958e-03	-6.344383e-04
43            	-4.470809e-04	1.909098e-01	-1.882295e-03	-1.388229e-03	-4.940667e-04
44            	-5.300497e-04	1.921214e-01	-1.958066e-03	-1.509083e-03	-4.489833e-04
45            	-5.796238e-04	1.933323e-01	-2.045124e-03	-1.602186e-03	-4.429382e-04
46            	-5.885472e-04	1.944992e-01	-2.140046e-03	-1.658570e-03	-4.814759e-04
47            	-5.691615e-04	1.956411e-01	-2.240586e-03	-1.689454e-03	-5.511312e-04
48            	-5.294737e-04	1.967646e-01	-2.344747e-03	-1.701847e-03	-6.428996e-04
49            	-4.803029e-04	1.979089e-01	-2.450331e-03	-1.705469e-03	-7.448629e-04
50            	-4.180909e-04	1.990266e-01	-2.557626e-03	-1.696904e-03	-8.607219e-04
51            	-3.460938e-04	2.001191e-01	-2.664549e-03	-1.678368e-03	-9.861809e-04
52            	-2.764633e-04	2.012365e-01	-2.771724e-03	-1.662325e-03	-1.109399e-03
