# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.437092e-03
2             	1.130419e-01	1.394031e-02	1.861768e-01	2.352787e-01	2.888079e-03
3             	7.321478e-02	7.376925e-03	6.764279e-02	7.468684e-02	3.411528e-03
4             	2.503117e-01	6.361316e-03	3.344171e-02	2.746121e-02	1.763645e-03
5             	1.635768e-01	5.294407e-03	2.419550e-02	9.292275e-03	1.268669e-03
6             	1.435001e-01	4.672438e-03	1.671670e-02	4.489946e-03	9.793043e-04
7             	1.436448e-01	4.297734e-03	1.269697e-02	3.412863e-03	6.737118e-04
8             	1.438834e-01	3.884623e-03	1.099278e-02	2.043185e-03	5.765683e-04
9             	1.083431e-01	3.839629e-03	9.457426e-03	1.805196e-03	4.595841e-04
10            	1.213794e-01	4.052305e-03	8.892238e-03	1.504612e-03	4.313080e-04
11            	1.080319e-01	4.083521e-03	8.401806e-03	1.280963e-03	3.796400e-04
12            	8.310810e-02	4.103175e-03	8.537427e-03	1.119951e-03	3.641069e-04
13            	5.755762e-02	3.958933e-03	8.413554e-03	9.904306e-04	3.575868e-04
14            	4.421728e-02	3.780687e-03	8.555179e-03	9.294671e-04	3.228042e-04
15            	3.431450e-02	3.520021e-03	8.515750e-03	8.968267e-04	3.075929e-04
16            	2.678495e-02	3.304876e-03	8.566936e-03	9.259926e-04	3.090186e-04
17            	2.205639e-02	3.135301e-03	8.592134e-03	9.569630e-04	3.296322e-04
18            	1.881025e-02	3.042283e-03	8.857816e-03	9.702348e-04	3.457759e-04
19            	1.705874e-02	2.999071e-03	9.285032e-03	9.425023e-04	3.452148e-04
20            	1.559906e-02	3.000520e-03	9.938417e-03	9.276044e-04	3.371393e-04
21            	1.517350e-02	3.026744e-03	1.063759e-02	9.083429e-04	3.417078e-04
22            	1.468145e-02	3.112573e-03	1.162061e-02	8.824062e-04	3.445925e-04
23            	1.378694e-02	3.230599e-03	1.288563e-02	9.159099e-04	3.463766e-04
24            	1.336515e-02	3.371907e-03	1.490422e-02	9.657476e-04	3.569150e-04
25            	1.315945e-02	3.536180e-03	1.838995e-02	9.497794e-04	3.554933e-04
26            	1.259504e-02	3.665708e-03	2.473338e-02	9.384292e-04	3.563896e-04
27            	1.175457e-02	3.732955e-03	3.766020e-02	9.083220e-04	3.496213e-04
28            	1.102959e-02	3.769546e-03	6.480387e-02	8.966081e-04	3.364734e-04
29            	1.029855e-02	3.817474e-03	4.455799e-02	8.609169e-04	3.156510e-04
30            	1.032504e-02	3.976878e-03	2.864144e-02	8.254309e-04	2.917941e-04
31            	1.063679e-02	4.186156e-03	2.194658e-02	8.152795e-04	2.789571e-04
32            	1.174041e-02	4.532407e-03	1.863473e-02	8.110413e-04	2.766304e-04
33            	1.241572e-02	5.116073e-03	1.721462e-02	8.260983e-04	2.712060e-04
34            	1.414040e-02	5.876660e-03	1.697226e-02	8.559851e-04	2.688974e-04
35            	1.571294e-02	6.962035e-03	1.806223e-02	8.996868e-04	2.763860e-04
36            	1.696413e-02	8.246573e-03	2.012780e-02	9.428398e-04	2.790192e-04
37            	1.888412e-02	9.702704e-03	2.511381e-02	1.026886e-03	2.897537e-04
38            	2.131761e-02	1.115712e-02	3.560319e-02	1.129658e-03	2.961051e-04
39            	2.632308e-02	1.248782e-02	5.811484e-02	1.181777e-03	2.998273e-04
40            	3.546610e-02	1.371039e-02	1.175227e-01	1.255984e-03	2.938905e-04
41            	4.381942e-02	1.451050e-02	7.081761e-02	1.270070e-03	2.870892e-04
42            	5.739727e-02	1.424025e-02	4.568882e-02	1.280015e-03	2.803389e-04
43            	6.466084e-02	1.346477e-02	3.440046e-02	1.258695e-03	2.721725e-04
44            	6.187137e-02	1.257609e-02	2.834137e-02	1.235866e-03	2.459330e-04
45            	5.722066e-02	1.155909e-02	2.461319e-02	1.186547e-03	2.318864e-04
46            	5.463439e-02	1.063328e-02	2.211061e-02	1.092291e-03	2.140478e-04
47            	4.731880e-02	9.880502e-03	2.058817e-02	1.014584e-03	2.041133e-04
48            	3.733582e-02	9.317887e-03	1.997673e-02	9.644554e-04	2.052643e-04
49            	2.932551e-02	8.777020e-03	2.042921e-02	9.079787e-04	2.027045e-04
50            	2.357937e-02	8.292751e-03	2.248676e-02	8.722594e-04	2.033820e-04
51            	1.936405e-02	7.896343e-03	2.716007e-02	8.330150e-04	1.981327e-04
52            	1.616392e-02	7.647299e-03	3.679981e-02	8.084556e-04	1.954059e-04
53            	1.463139e-02	7.533315e-03	5.827825e-02	7.818217e-04	1.886128e-04
54            	1.356867e-02	7.446391e-03	9.955989e-02	7.793108e-04	1.818926e-04
55            	1.337513e-02	7.347052e-03	7.177088e-02	7.654597e-04	1.789843e-04
56            	1.440194e-02	7.348153e-03	4.730007e-02	7.588877e-04	1.756819e-04
57            	1.493154e-02	7.627826e-03	4.128571e-02	7.746192e-04	1.758054e-04
58            	1.646279e-02	8.186877e-03	4.383037e-02	8.008302e-04	1.804596e-04
59            	1.835694e-02	9.051307e-03	5.396346e-02	8.170990e-04	1.823876e-04
60            	2.049643e-02	9.885966e-03	7.482937e-02	8.259142e-04	1.800639e-04
61            	2.205428e-02	1.035971e-02	1.288260e-01	8.224906e-04	1.712113e-04
62            	2.218944e-02	1.067178e-02	8.996974e-02	7.957609e-04	1.621771e-04
63            	2.298589e-02	1.069063e-02	4.949253e-02	7.634820e-04	1.493300e-04
64            	2.489231e-02	1.045427e-02	3.232836e-02	7.424681e-04	1.404468e-04
65            	2.544710e-02	1.015320e-02	2.407936e-02	7.257517e-04	1.355509e-04
66            	2.739049e-02	9.910781e-03	1.958928e-02	7.030070e-04	1.307564e-04
67            	2.856763e-02	9.814776e-03	1.695509e-02	6.727674e-04	1.273558e-04
68            	2.618653e-02	9.827379e-03	1.524886e-02	6.316945e-04	1.233427e-04
69            	2.305069e-02	1.002743e-02	1.416618e-02	5.852158e-04	1.207809e-04
70            	2.102509e-02	1.027274e-02	1.349679e-02	5.450814e-04	1.162671e-04
71            	1.986561e-02	1.044697e-02	1.312868e-02	5.109863e-04	1.127458e-04
72            	1.876051e-02	1.048716e-02	1.275428e-02	4.880740e-04	1.109781e-04
73            	1.733038e-02	1.028370e-02	1.214176e-02	4.874791e-04	1.093823e-04
74            	1.572575e-02	9.814912e-03	1.128491e-02	4.845188e-04	1.074420e-04
75            	1.433173e-02	9.110943e-03	1.029242e-02	4.841325e-04	1.053712e-04
76            	1.316095e-02	8.374226e-03	9.324288e-03	4.792637e-04	1.033952e-04
77            	1.182294e-02	7.654408e-03	8.460073e-03	4.634693e-04	9.940678e-05
78            	1.068813e-02	7.000991e-03	7.728429e-03	4.427452e-04	9.531224e-05
79            	9.438804e-03	6.427744e-03	7.149792e-03	4.110088e-04	9.106580e-05
