# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.515259e-03
2             	9.350589e-02	1.376744e-02	1.304735e-01	2.389390e-01	3.274515e-03
3             	6.234412e-02	8.671172e-03	5.329379e-02	8.050348e-02	4.523652e-03
4             	7.780205e-02	7.934032e-03	3.034586e-02	3.067459e-02	1.864603e-03
5             	1.037368e-01	7.082174e-03	2.243460e-02	1.100040e-02	1.384572e-03
6             	1.484350e-01	6.995526e-03	1.596999e-02	4.558840e-03	1.127614e-03
7             	1.336744e-01	5.637939e-03	1.140780e-02	3.841122e-03	9.490949e-04
8             	9.069068e-02	4.987022e-03	9.189113e-03	3.289126e-03	7.158856e-04
9             	5.740110e-02	4.456461e-03	7.755036e-03	2.574186e-03	5.112794e-04
10            	4.291413e-02	4.243781e-03	6.323809e-03	1.895699e-03	3.840211e-04
11            	3.825736e-02	4.188080e-03	5.626899e-03	1.220904e-03	3.668351e-04
12            	3.450225e-02	4.057110e-03	5.259179e-03	1.269022e-03	3.922023e-04
13            	2.943611e-02	4.114251e-03	5.191045e-03	1.180283e-03	4.769217e-04
14            	2.291915e-02	4.070881e-03	5.089190e-03	1.237764e-03	5.947770e-04
15            	2.116041e-02	4.030768e-03	5.037329e-03	1.143917e-03	3.647404e-04
16            	1.914433e-02	3.981425e-03	5.085658e-03	1.054542e-03	3.936093e-04
17            	1.788372e-02	3.933436e-03	5.200309e-03	1.046399e-03	3.906598e-04
18            	1.705234e-02	3.882919e-03	5.409883e-03	1.054849e-03	4.068913e-04
19            	1.645957e-02	3.864170e-03	5.700614e-03	1.114411e-03	4.252057e-04
20            	1.596427e-02	3.915072e-03	6.198067e-03	1.197406e-03	4.268834e-04
21            	1.520958e-02	4.052204e-03	6.853652e-03	1.189703e-03	4.536558e-04
22            	1.396452e-02	4.213077e-03	7.730399e-03	1.139599e-03	4.215398e-04
23            	1.345261e-02	4.354144e-03	8.718568e-03	1.049762e-03	3.934800e-04
24            	1.328986e-02	4.521678e-03	9.799641e-03	1.015070e-03	3.646005e-04
25            	1.285932e-02	4.826102e-03	1.146944e-02	9.616580e-04	3.440121e-04
26            	1.273529e-02	5.116325e-03	1.369285e-02	9.624345e-04	3.282871e-04
