# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.523522e-03
2             	9.592771e-02	1.379486e-02	1.262002e-01	2.400215e-01	3.325446e-03
3             	6.191428e-02	8.788161e-03	5.218199e-02	8.129060e-02	4.521516e-03
4             	7.482083e-02	8.132157e-03	3.001922e-02	3.087247e-02	1.989311e-03
5             	9.983932e-02	7.167526e-03	2.202584e-02	1.109395e-02	1.358188e-03
6             	1.290768e-01	7.089124e-03	1.528401e-02	4.503811e-03	1.025640e-03
7             	9.661096e-02	5.729805e-03	1.089057e-02	3.857613e-03	8.697766e-04
8             	6.700455e-02	5.085834e-03	8.954247e-03	3.442809e-03	7.367805e-04
9             	4.382532e-02	4.604969e-03	7.595298e-03	2.910336e-03	5.908059e-04
10            	3.598272e-02	4.347203e-03	6.194729e-03	2.388921e-03	4.462438e-04
11            	3.275096e-02	4.267530e-03	5.530341e-03	1.259907e-03	4.365348e-04
12            	3.203057e-02	4.125412e-03	5.250032e-03	1.265900e-03	4.559705e-04
13            	2.444511e-02	4.101218e-03	5.169834e-03	1.168879e-03	8.644919e-04
14            	2.107442e-02	4.077109e-03	5.027430e-03	1.152024e-03	3.567787e-04
15            	1.941557e-02	4.038856e-03	5.005250e-03	1.169880e-03	3.134908e-04
16            	1.808190e-02	4.022749e-03	5.016763e-03	1.080406e-03	3.481596e-04
17            	1.638353e-02	3.959934e-03	5.080244e-03	9.885963e-04	4.040482e-04
18            	1.502173e-02	3.907522e-03	5.166794e-03	8.990914e-04	3.949330e-04
19            	1.411969e-02	3.868970e-03	5.388458e-03	9.203512e-04	3.865225e-04
20            	1.375336e-02	3.878670e-03	5.669029e-03	9.977310e-04	4.192714e-04
21            	1.400050e-02	3.944364e-03	6.120196e-03	1.062127e-03	4.304956e-04
22            	1.400318e-02	4.091514e-03	6.855523e-03	1.050668e-03	4.272559e-04
23            	1.311687e-02	4.246778e-03	7.714221e-03	1.002864e-03	4.101389e-04
24            	1.277886e-02	4.371268e-03	8.679676e-03	9.608013e-04	3.813501e-04
25            	1.272127e-02	4.536454e-03	9.788185e-03	9.120174e-04	3.587135e-04
26            	1.240638e-02	4.799476e-03	1.137486e-02	8.921131e-04	3.333762e-04
27            	1.258105e-02	5.127439e-03	1.373048e-02	8.682445e-04	3.188924e-04
