# Force coefficients
# liftDir     : (9.563047e-01 -2.923719e-01 0.000000e+00)
# dragDir     : (2.923719e-01 9.563047e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-1.771900e-01	1.277504e+00	-2.126547e-01	-2.835174e-01	7.086266e-02
2             	-2.511614e-01	1.198808e+00	-9.227310e-02	-2.972979e-01	2.050248e-01
3             	-2.641173e-01	1.393380e+00	-1.837611e-01	-3.559979e-01	1.722368e-01
4             	-2.178847e-01	1.731232e+00	-3.318007e-01	-3.837850e-01	5.198439e-02
5             	-1.211511e-01	1.865061e+00	-4.366593e-01	-3.394808e-01	-9.717851e-02
6             	-5.613581e-02	1.994670e+00	-5.963032e-01	-3.542874e-01	-2.420158e-01
7             	-8.183683e-03	1.969221e+00	-7.361668e-01	-3.762671e-01	-3.598997e-01
8             	4.285965e-02	1.869490e+00	-8.186711e-01	-3.664759e-01	-4.521952e-01
9             	8.220847e-02	1.697639e+00	-8.270326e-01	-3.313078e-01	-4.957248e-01
10            	8.461503e-02	1.613163e+00	-8.166264e-01	-3.236981e-01	-4.929282e-01
11            	7.510160e-02	1.563014e+00	-7.957125e-01	-3.227546e-01	-4.729578e-01
12            	5.268588e-02	1.537682e+00	-7.682535e-01	-3.314409e-01	-4.368126e-01
13            	2.525875e-02	1.556470e+00	-7.428313e-01	-3.461569e-01	-3.966744e-01
14            	-5.175884e-03	1.604143e+00	-7.294084e-01	-3.698801e-01	-3.595283e-01
15            	-2.821967e-02	1.678642e+00	-7.184605e-01	-3.874499e-01	-3.310106e-01
16            	-5.064107e-02	1.759933e+00	-7.082746e-01	-4.047784e-01	-3.034963e-01
17            	-7.134293e-02	1.833814e+00	-6.976717e-01	-4.201788e-01	-2.774929e-01
18            	-9.538235e-02	1.910494e+00	-6.869126e-01	-4.388387e-01	-2.480740e-01
19            	-1.240541e-01	1.965173e+00	-6.679772e-01	-4.580427e-01	-2.099345e-01
20            	-1.586882e-01	2.003053e+00	-6.439535e-01	-4.806649e-01	-1.632885e-01
21            	-1.977677e-01	2.021112e+00	-6.147915e-01	-5.051634e-01	-1.096281e-01
22            	-2.407783e-01	2.016757e+00	-5.779931e-01	-5.297748e-01	-4.821828e-02
23            	-2.850033e-01	2.000901e+00	-5.423085e-01	-5.561576e-01	1.384902e-02
24            	-3.264236e-01	1.977171e+00	-5.074510e-01	-5.801491e-01	7.269812e-02
25            	-3.648341e-01	1.936042e+00	-4.726318e-01	-6.011501e-01	1.285182e-01
26            	-3.970200e-01	1.878898e+00	-4.405041e-01	-6.172721e-01	1.767680e-01
27            	-4.218696e-01	1.783956e+00	-4.018398e-01	-6.227895e-01	2.209497e-01
28            	-4.325349e-01	1.648784e+00	-3.545365e-01	-6.098032e-01	2.552667e-01
29            	-4.248229e-01	1.470720e+00	-2.964705e-01	-5.730581e-01	2.765876e-01
30            	-3.941855e-01	1.262953e+00	-2.335404e-01	-5.109557e-01	2.774153e-01
31            	-3.342625e-01	1.002667e+00	-1.592143e-01	-4.138696e-01	2.546553e-01
32            	-2.615365e-01	7.501439e-01	-9.003300e-02	-3.065530e-01	2.165200e-01
33            	-1.651343e-01	4.606106e-01	-1.287228e-02	-1.715704e-01	1.586982e-01
34            	-6.664562e-02	2.029822e-01	5.292094e-02	-4.018515e-02	9.310609e-02
35            	2.276575e-02	2.823743e-03	9.986234e-02	7.269692e-02	2.716542e-02
36            	1.049129e-01	-1.718731e-01	1.381328e-01	1.739793e-01	-3.584653e-02
37            	1.536857e-01	-2.641643e-01	1.541563e-01	2.307639e-01	-7.660757e-02
38            	1.693056e-01	-3.032978e-01	1.586328e-01	2.486219e-01	-8.998918e-02
39            	1.332123e-01	-2.208958e-01	1.344577e-01	2.004411e-01	-6.598341e-02
40            	9.052176e-02	-1.178015e-01	1.048647e-01	1.429541e-01	-3.808941e-02
41            	5.584512e-02	-2.383453e-02	7.532000e-02	9.350512e-02	-1.818512e-02
42            	1.720672e-02	1.094571e-01	3.136841e-02	3.289092e-02	-1.522517e-03
43            	-1.551959e-02	2.505248e-01	-1.817157e-02	-2.460538e-02	6.433806e-03
44            	-3.364161e-02	3.638752e-01	-6.236123e-02	-6.482223e-02	2.461000e-03
45            	-4.106935e-02	4.527639e-01	-1.010242e-01	-9.158146e-02	-9.442765e-03
46            	-4.561697e-02	5.357919e-01	-1.390531e-01	-1.151435e-01	-2.390959e-02
47            	-4.396005e-02	5.937492e-01	-1.697447e-01	-1.288324e-01	-4.091228e-02
48            	-4.412183e-02	6.467863e-01	-1.982057e-01	-1.432247e-01	-5.498103e-02
49            	-4.366411e-02	6.829140e-01	-2.199985e-01	-1.536634e-01	-6.633514e-02
50            	-4.756773e-02	7.131564e-01	-2.370278e-01	-1.660816e-01	-7.094618e-02
51            	-6.245229e-02	7.596204e-01	-2.557652e-01	-1.903349e-01	-6.543032e-02
52            	-8.387173e-02	8.169312e-01	-2.751935e-01	-2.214685e-01	-5.372500e-02
53            	-1.057180e-01	8.745917e-01	-2.932150e-01	-2.523255e-01	-4.088951e-02
54            	-1.253688e-01	9.257887e-01	-3.088875e-01	-2.798125e-01	-2.907497e-02
55            	-1.411715e-01	9.657014e-01	-3.208293e-01	-3.015861e-01	-1.924311e-02
56            	-1.527839e-01	9.965909e-01	-3.297027e-01	-3.176353e-01	-1.206745e-02
57            	-1.565881e-01	1.011809e+00	-3.339853e-01	-3.235807e-01	-1.040460e-02
58            	-1.523203e-01	1.012712e+00	-3.341688e-01	-3.194047e-01	-1.476414e-02
59            	-1.375217e-01	9.940248e-01	-3.288049e-01	-3.019241e-01	-2.688078e-02
60            	-1.137700e-01	9.601184e-01	-3.191735e-01	-2.733568e-01	-4.581674e-02
