# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.450271e-03
2             	1.044742e-01	1.383300e-02	1.732543e-01	2.371730e-01	2.952018e-03
3             	7.093803e-02	7.622695e-03	6.412639e-02	7.610134e-02	3.597260e-03
4             	1.817128e-01	6.581974e-03	3.262686e-02	2.799233e-02	1.780638e-03
5             	1.965077e-01	5.566826e-03	2.368838e-02	9.659417e-03	1.318101e-03
6             	1.569150e-01	4.963506e-03	1.655008e-02	4.563034e-03	1.023161e-03
7             	1.375093e-01	4.472680e-03	1.242132e-02	3.618414e-03	7.120761e-04
8             	1.296471e-01	4.117361e-03	1.088445e-02	2.400196e-03	5.020720e-04
9             	9.713494e-02	3.964302e-03	9.223342e-03	1.652450e-03	4.281318e-04
10            	1.142532e-01	4.215413e-03	8.629765e-03	1.547511e-03	3.740875e-04
11            	1.113836e-01	4.169823e-03	8.092903e-03	1.360413e-03	4.019162e-04
12            	8.304049e-02	4.265139e-03	8.048848e-03	1.260653e-03	4.304909e-04
13            	5.647465e-02	4.136231e-03	7.992815e-03	1.137815e-03	4.269347e-04
14            	4.210714e-02	4.009402e-03	8.067687e-03	1.072381e-03	3.912438e-04
15            	3.320759e-02	3.842032e-03	8.206561e-03	1.075674e-03	3.892465e-04
16            	2.685950e-02	3.738935e-03	8.435339e-03	1.097444e-03	3.812559e-04
17            	2.319036e-02	3.675284e-03	8.913987e-03	1.108765e-03	3.787385e-04
18            	1.991201e-02	3.690174e-03	9.601169e-03	1.083955e-03	3.786284e-04
19            	1.706294e-02	3.675368e-03	1.052207e-02	1.060859e-03	3.701560e-04
20            	1.591282e-02	3.737677e-03	1.170625e-02	1.013701e-03	3.647411e-04
21            	1.485673e-02	3.843791e-03	1.325347e-02	9.910623e-04	3.622239e-04
22            	1.421770e-02	3.962114e-03	1.547156e-02	9.657451e-04	3.561719e-04
23            	1.365487e-02	4.094534e-03	1.884173e-02	9.332905e-04	3.502602e-04
24            	1.268370e-02	4.318447e-03	2.414943e-02	9.301442e-04	3.470894e-04
25            	1.187488e-02	4.237434e-03	3.275430e-02	9.057011e-04	3.430220e-04
26            	1.124278e-02	4.133491e-03	5.053364e-02	8.660563e-04	3.326593e-04
27            	1.054635e-02	4.247415e-03	7.215322e-02	8.241129e-04	3.190783e-04
28            	9.934579e-03	4.354967e-03	4.149400e-02	8.224148e-04	3.025462e-04
29            	9.800719e-03	4.378046e-03	2.833941e-02	8.307943e-04	2.900624e-04
30            	1.062621e-02	4.583181e-03	2.246842e-02	8.652955e-04	2.780709e-04
31            	1.178918e-02	5.060384e-03	1.986006e-02	9.018863e-04	2.774185e-04
32            	1.297877e-02	5.809688e-03	1.894742e-02	9.628224e-04	2.804989e-04
33            	1.504277e-02	6.855988e-03	1.927700e-02	1.022457e-03	2.895412e-04
34            	1.644168e-02	8.281903e-03	2.148062e-02	1.039977e-03	2.820845e-04
35            	1.798979e-02	9.928171e-03	2.614509e-02	1.101046e-03	2.870752e-04
36            	2.086538e-02	1.168978e-02	3.581825e-02	1.160692e-03	2.830975e-04
37            	2.491498e-02	1.315997e-02	5.801264e-02	1.197222e-03	2.754412e-04
38            	3.124743e-02	1.446424e-02	1.108935e-01	1.211077e-03	2.652680e-04
39            	3.729811e-02	1.522509e-02	7.989292e-02	1.213437e-03	2.494476e-04
40            	4.864543e-02	1.502849e-02	4.917689e-02	1.200753e-03	2.522859e-04
41            	5.842412e-02	1.430790e-02	3.636251e-02	1.149722e-03	2.443987e-04
42            	6.047320e-02	1.338097e-02	2.921050e-02	1.075209e-03	2.233810e-04
43            	5.632422e-02	1.237361e-02	2.471587e-02	1.011601e-03	2.113404e-04
44            	5.451965e-02	1.139928e-02	2.180265e-02	9.323057e-04	1.988893e-04
45            	5.001653e-02	1.054235e-02	2.008881e-02	8.632473e-04	1.936188e-04
46            	4.087722e-02	9.953365e-03	1.928569e-02	8.023396e-04	1.931791e-04
47            	3.185908e-02	9.434065e-03	1.932014e-02	7.625292e-04	1.894010e-04
48            	2.538313e-02	8.922794e-03	2.069908e-02	7.399951e-04	1.907856e-04
49            	2.053457e-02	8.512581e-03	2.402345e-02	7.031789e-04	1.888740e-04
50            	1.700944e-02	8.247958e-03	3.041562e-02	6.860608e-04	1.850140e-04
51            	1.529922e-02	8.106519e-03	4.240898e-02	6.693551e-04	1.800703e-04
52            	1.398591e-02	7.988382e-03	6.611050e-02	6.730229e-04	1.763633e-04
53            	1.361686e-02	7.832456e-03	1.005864e-01	6.795088e-04	1.726442e-04
54            	1.404287e-02	7.747354e-03	8.643605e-02	6.912571e-04	1.732455e-04
55            	1.475716e-02	7.893439e-03	7.620954e-02	7.083015e-04	1.760765e-04
56            	1.628219e-02	8.309132e-03	8.346279e-02	7.389030e-04	1.802841e-04
57            	1.782771e-02	8.945941e-03	1.062736e-01	7.740861e-04	1.820971e-04
58            	1.903578e-02	9.431571e-03	1.284143e-01	7.822311e-04	1.791224e-04
59            	1.954451e-02	9.653263e-03	9.198197e-02	7.662688e-04	1.701105e-04
60            	1.884144e-02	9.633904e-03	5.735498e-02	7.357593e-04	1.593790e-04
61            	1.900383e-02	9.412292e-03	3.805718e-02	6.990673e-04	1.463553e-04
62            	1.991350e-02	8.983948e-03	2.744439e-02	6.730120e-04	1.393334e-04
63            	1.953449e-02	8.519435e-03	2.156781e-02	6.590940e-04	1.346781e-04
