0 	4.8752e-09 	0 	0 	4.8752e-09 	0 	4.8752e-09
1.87161 	0.00944114 	-0.000888745 	0 	0.00944114 	0 	0.00944114
3.93169 	0.0800376 	-0.0193503 	0 	0.0800376 	0 	0.0800376
6.1992 	0.308697 	-0.115035 	0 	0.308697 	0 	0.308697
8.69503 	0.672315 	-0.298606 	0 	0.672315 	0 	0.672315
11.4422 	1.0117 	-0.470446 	0 	1.0117 	0 	1.0117
14.466 	1.247 	-0.57995 	0 	1.247 	0 	1.247
17.7942 	1.39498 	-0.648765 	0 	1.39498 	0 	1.39498
21.4576 	1.48041 	-0.688397 	0 	1.48041 	0 	1.48041
25.4899 	1.52304 	-0.708234 	0 	1.52304 	0 	1.52304
29.9281 	1.53584 	-0.714206 	0 	1.53584 	0 	1.53584
34.8134 	1.52682 	-0.709981 	0 	1.52682 	0 	1.52682
40.1905 	1.50078 	-0.697839 	0 	1.50078 	0 	1.50078
46.109 	1.46062 	-0.679165 	0 	1.46062 	0 	1.46062
52.6235 	1.40818 	-0.654801 	0 	1.40818 	0 	1.40818
59.794 	1.34491 	-0.625396 	0 	1.34491 	0 	1.34491
67.6866 	1.2723 	-0.591628 	0 	1.2723 	0 	1.2723
76.3738 	1.19171 	-0.552065 	0 	1.19171 	0 	1.19171
85.9358 	1.10427 	-0.505613 	0 	1.10427 	0 	1.10427
96.4607 	1.01131 	-0.453393 	0 	1.01131 	0 	1.01131
108.045 	0.914967 	-0.395486 	0 	0.91497 	0 	0.91497
120.796 	0.818676 	-0.331138 	0 	0.818679 	0 	0.81868
134.832 	0.727649 	-0.259757 	0 	0.727649 	0 	0.727649
150.28 	0.649387 	-0.180943 	0 	0.649383 	0 	0.649383
167.284 	0.59389 	-0.0937989 	0 	0.593886 	0 	0.593886
186 	0.573299 	0.00036645 	0 	0.5733 	0 	0.573299
