# y+ ()       
# Time        	patch         	min           	max           	average       
50            	suction_side	1.351207e+01	5.590388e+01	3.173926e+01
50            	pressure_side	1.114828e+01	3.844547e+01	3.121249e+01
50            	trailing_edge	1.119906e+02	1.324016e+02	1.221961e+02
100           	suction_side	1.798427e+01	5.703395e+01	3.365050e+01
100           	pressure_side	4.687540e+00	4.370881e+01	2.834110e+01
100           	trailing_edge	1.001094e+02	1.453164e+02	1.227129e+02
129           	suction_side	1.237570e+01	4.938491e+01	3.107303e+01
129           	pressure_side	4.273688e+00	5.713861e+01	2.930000e+01
129           	trailing_edge	1.259605e+02	1.721056e+02	1.490330e+02
