# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.422595e-03
2             	1.242909e-01	1.406512e-02	2.009415e-01	2.337665e-01	2.809065e-03
3             	7.580959e-02	7.273215e-03	7.220807e-02	7.337387e-02	3.161637e-03
4             	1.955352e-01	6.122443e-03	3.471914e-02	2.676434e-02	1.622054e-03
5             	1.293217e-01	4.952242e-03	2.453092e-02	8.965654e-03	1.213681e-03
6             	1.298939e-01	4.281569e-03	1.676858e-02	4.409616e-03	8.719023e-04
7             	1.339461e-01	4.077956e-03	1.307643e-02	3.018106e-03	7.433983e-04
8             	1.426226e-01	3.690723e-03	1.107257e-02	1.939589e-03	6.312051e-04
9             	1.191606e-01	3.734514e-03	9.799668e-03	1.725272e-03	4.240602e-04
10            	1.208080e-01	3.752984e-03	9.215838e-03	1.381931e-03	3.580423e-04
11            	9.780962e-02	3.753984e-03	8.515918e-03	1.257675e-03	3.136254e-04
12            	8.359305e-02	3.744514e-03	8.564547e-03	1.178954e-03	3.432049e-04
13            	6.053931e-02	3.701372e-03	8.413343e-03	1.030646e-03	4.021582e-04
14            	4.931302e-02	3.709775e-03	8.712595e-03	9.728409e-04	4.008605e-04
15            	3.709139e-02	3.710311e-03	9.085087e-03	9.703430e-04	3.672958e-04
16            	2.979285e-02	3.764346e-03	9.855791e-03	9.490936e-04	3.534704e-04
17            	2.493088e-02	3.835830e-03	1.087206e-02	9.199884e-04	3.335339e-04
18            	2.113887e-02	3.884393e-03	1.229051e-02	8.839181e-04	3.211761e-04
19            	1.820357e-02	3.892698e-03	1.403753e-02	8.157897e-04	3.097773e-04
20            	1.569743e-02	3.951365e-03	1.639979e-02	7.550037e-04	3.001211e-04
21            	1.415988e-02	3.905876e-03	1.962308e-02	7.175785e-04	2.962456e-04
22            	1.359426e-02	3.908300e-03	2.493675e-02	7.032632e-04	2.929395e-04
23            	1.310696e-02	3.925424e-03	3.550157e-02	6.804799e-04	2.937026e-04
24            	1.175534e-02	4.108370e-03	6.023593e-02	6.590623e-04	2.972035e-04
25            	1.068320e-02	4.135865e-03	5.128276e-02	6.405809e-04	2.940276e-04
26            	1.028041e-02	4.205098e-03	3.011524e-02	6.290733e-04	2.771482e-04
27            	9.835563e-03	4.271740e-03	2.170231e-02	6.073014e-04	2.624207e-04
28            	1.038373e-02	4.452790e-03	1.768548e-02	6.108636e-04	2.392057e-04
29            	1.176821e-02	4.780931e-03	1.576124e-02	5.993054e-04	2.282821e-04
30            	1.378011e-02	5.402182e-03	1.540912e-02	6.149791e-04	2.297952e-04
31            	1.596399e-02	6.419610e-03	1.648593e-02	6.406960e-04	2.385881e-04
32            	1.838483e-02	7.849055e-03	1.941745e-02	6.578713e-04	2.373777e-04
33            	2.332763e-02	9.379158e-03	2.451089e-02	7.188650e-04	2.384664e-04
34            	2.969985e-02	1.075715e-02	3.346968e-02	7.518203e-04	2.359715e-04
35            	4.108483e-02	1.162851e-02	4.940946e-02	8.145549e-04	2.392899e-04
36            	4.928962e-02	1.219177e-02	8.626892e-02	8.672174e-04	2.347852e-04
37            	5.914746e-02	1.235062e-02	1.199196e-01	8.996711e-04	2.324122e-04
38            	6.466950e-02	1.209943e-02	5.818840e-02	9.333241e-04	2.311115e-04
39            	6.355808e-02	1.151139e-02	3.876271e-02	9.600822e-04	2.213117e-04
40            	6.382234e-02	1.076799e-02	3.013137e-02	9.647484e-04	2.153392e-04
41            	6.729159e-02	9.982765e-03	2.524775e-02	9.544191e-04	2.092654e-04
42            	5.911641e-02	9.236440e-03	2.209070e-02	9.202158e-04	2.027799e-04
43            	4.743472e-02	8.642947e-03	2.025312e-02	8.878732e-04	1.952994e-04
44            	3.683520e-02	8.055487e-03	1.919644e-02	8.531705e-04	1.926775e-04
45            	2.966150e-02	7.491038e-03	1.895023e-02	7.937401e-04	1.899104e-04
46            	2.390032e-02	6.905061e-03	1.950527e-02	7.557807e-04	1.858198e-04
47            	1.934990e-02	6.400276e-03	2.079936e-02	7.242550e-04	1.846869e-04
48            	1.612421e-02	6.020280e-03	2.306750e-02	6.860956e-04	1.806901e-04
49            	1.381315e-02	5.772339e-03	2.722147e-02	6.736580e-04	1.829578e-04
50            	1.227703e-02	5.598211e-03	3.623070e-02	6.661220e-04	1.814150e-04
51            	1.127931e-02	5.438375e-03	6.061511e-02	6.568678e-04	1.831461e-04
52            	1.069164e-02	5.343972e-03	7.551904e-02	6.460815e-04	1.796676e-04
53            	1.052685e-02	5.346276e-03	3.851466e-02	6.374254e-04	1.728440e-04
54            	1.063762e-02	5.477683e-03	2.645108e-02	6.292898e-04	1.646288e-04
55            	1.139936e-02	5.809294e-03	2.145915e-02	6.271255e-04	1.590877e-04
56            	1.277429e-02	6.367937e-03	1.974723e-02	6.456442e-04	1.606417e-04
57            	1.454558e-02	7.296608e-03	2.031373e-02	6.717728e-04	1.669304e-04
58            	1.760289e-02	8.598823e-03	2.297914e-02	6.810828e-04	1.693092e-04
59            	1.994896e-02	9.907922e-03	2.783200e-02	6.712107e-04	1.627960e-04
60            	2.378686e-02	1.083712e-02	3.636292e-02	6.549386e-04	1.550039e-04
61            	2.690354e-02	1.166562e-02	5.514393e-02	6.240080e-04	1.436704e-04
62            	3.066514e-02	1.245754e-02	1.187629e-01	6.047005e-04	1.318537e-04
63            	3.691499e-02	1.294804e-02	6.695771e-02	5.806729e-04	1.217220e-04
64            	4.265241e-02	1.320393e-02	3.656925e-02	5.639385e-04	1.137679e-04
65            	4.960440e-02	1.328337e-02	2.533455e-02	5.495808e-04	1.088818e-04
66            	5.890613e-02	1.326620e-02	1.957903e-02	5.289867e-04	1.035889e-04
67            	5.929975e-02	1.325265e-02	1.603864e-02	5.061621e-04	9.989928e-05
