# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.474851e-03
2             	9.579252e-02	1.374223e-02	1.544131e-01	2.383973e-01	3.071427e-03
3             	6.914685e-02	8.365267e-03	5.924394e-02	7.820563e-02	3.920380e-03
4             	1.152989e-01	7.070783e-03	3.135116e-02	2.923946e-02	1.751200e-03
5             	1.410330e-01	6.058793e-03	2.303256e-02	1.027733e-02	1.411762e-03
6             	1.875507e-01	5.760735e-03	1.635926e-02	4.514863e-03	1.111901e-03
7             	1.240060e-01	4.945965e-03	1.223711e-02	3.778952e-03	7.423639e-04
8             	1.147919e-01	4.500206e-03	1.054317e-02	3.167798e-03	5.343657e-04
9             	9.576767e-02	4.137420e-03	8.688765e-03	2.058195e-03	4.687313e-04
10            	1.030210e-01	4.522250e-03	8.218108e-03	1.583450e-03	5.022181e-04
11            	1.036802e-01	4.296455e-03	7.349940e-03	1.450265e-03	4.902710e-04
12            	7.570915e-02	4.341550e-03	7.042529e-03	1.436763e-03	4.949923e-04
13            	5.528340e-02	4.485525e-03	7.107587e-03	1.463698e-03	4.781823e-04
14            	4.041012e-02	4.484644e-03	7.303090e-03	1.458986e-03	4.910437e-04
15            	3.091102e-02	4.496550e-03	7.702325e-03	1.466094e-03	4.907315e-04
16            	2.599033e-02	4.512862e-03	8.343559e-03	1.419695e-03	4.716835e-04
17            	2.291689e-02	4.558025e-03	9.143609e-03	1.316454e-03	4.469958e-04
18            	1.978045e-02	4.546189e-03	1.017924e-02	1.251235e-03	4.112436e-04
19            	1.758497e-02	4.518891e-03	1.157091e-02	1.196332e-03	3.839241e-04
20            	1.587970e-02	4.477023e-03	1.323987e-02	1.125359e-03	3.610907e-04
21            	1.456122e-02	4.537481e-03	1.540905e-02	1.058651e-03	3.312438e-04
22            	1.347854e-02	4.599687e-03	1.842101e-02	1.046629e-03	3.273135e-04
23            	1.256356e-02	4.685286e-03	2.265575e-02	1.016715e-03	3.195173e-04
24            	1.130060e-02	4.939109e-03	2.911781e-02	1.003352e-03	3.240658e-04
25            	1.034911e-02	4.872123e-03	4.002287e-02	1.012612e-03	3.260198e-04
26            	1.000878e-02	4.758505e-03	6.201467e-02	1.022130e-03	3.169069e-04
27            	9.527547e-03	4.719274e-03	6.457910e-02	1.040686e-03	3.054532e-04
28            	9.410602e-03	4.794136e-03	4.037710e-02	1.063346e-03	2.956154e-04
29            	1.009835e-02	5.064435e-03	3.056538e-02	1.088479e-03	2.833110e-04
30            	1.109054e-02	5.604886e-03	2.609751e-02	1.130612e-03	2.943290e-04
31            	1.257031e-02	6.414488e-03	2.470570e-02	1.145913e-03	2.873371e-04
32            	1.462791e-02	7.610876e-03	2.483348e-02	1.162046e-03	2.964315e-04
33            	1.621426e-02	9.323813e-03	2.737041e-02	1.149024e-03	2.946690e-04
34            	1.809430e-02	1.140767e-02	3.293435e-02	1.210895e-03	2.792542e-04
35            	2.001826e-02	1.376100e-02	4.527320e-02	1.302871e-03	2.732041e-04
36            	2.393282e-02	1.616261e-02	7.678993e-02	1.386411e-03	2.596630e-04
37            	2.758469e-02	1.812652e-02	1.166381e-01	1.490687e-03	2.479388e-04
38            	3.310448e-02	1.954062e-02	6.070234e-02	1.547480e-03	2.388793e-04
39            	4.365275e-02	1.994949e-02	4.164207e-02	1.479867e-03	2.327661e-04
40            	6.055416e-02	1.907801e-02	3.287654e-02	1.387930e-03	2.248936e-04
41            	7.175406e-02	1.774920e-02	2.726594e-02	1.281161e-03	2.182401e-04
42            	6.868341e-02	1.638284e-02	2.350583e-02	1.182160e-03	2.070785e-04
43            	6.317966e-02	1.488942e-02	2.091786e-02	1.066939e-03	2.000792e-04
44            	6.008802e-02	1.347934e-02	1.895979e-02	9.673457e-04	1.912305e-04
45            	5.011367e-02	1.242904e-02	1.757229e-02	8.873281e-04	1.878624e-04
46            	4.261439e-02	1.157494e-02	1.670838e-02	8.340131e-04	1.853326e-04
47            	3.491126e-02	1.078066e-02	1.648617e-02	7.593068e-04	1.860402e-04
48            	2.733086e-02	1.014413e-02	1.685472e-02	6.717529e-04	1.867239e-04
49            	2.125855e-02	9.710873e-03	1.778881e-02	6.135072e-04	1.894135e-04
50            	1.767586e-02	9.338351e-03	1.949719e-02	5.926327e-04	1.887027e-04
51            	1.475070e-02	8.975242e-03	2.224416e-02	6.036517e-04	1.899831e-04
52            	1.295558e-02	8.630247e-03	2.703493e-02	6.155711e-04	1.895665e-04
53            	1.206309e-02	8.350542e-03	3.553189e-02	6.182860e-04	1.860307e-04
54            	1.148376e-02	8.143481e-03	5.131501e-02	6.273872e-04	1.833563e-04
55            	1.134815e-02	8.011621e-03	7.937460e-02	6.484494e-04	1.823479e-04
56            	1.216430e-02	7.976185e-03	9.739223e-02	6.664711e-04	1.850425e-04
57            	1.379235e-02	8.123036e-03	8.671880e-02	6.996760e-04	1.893406e-04
58            	1.398943e-02	8.580583e-03	9.362078e-02	7.462657e-04	1.939737e-04
59            	1.515345e-02	9.210241e-03	1.128641e-01	7.864421e-04	1.951465e-04
60            	1.655664e-02	9.827222e-03	1.072329e-01	7.961457e-04	1.920707e-04
61            	1.638842e-02	1.006654e-02	7.719047e-02	7.833947e-04	1.881258e-04
62            	1.492534e-02	9.958176e-03	5.306300e-02	7.486810e-04	1.784557e-04
63            	1.506298e-02	9.684255e-03	3.761786e-02	7.058000e-04	1.674345e-04
64            	1.692948e-02	9.153855e-03	2.802453e-02	6.858957e-04	1.608882e-04
65            	1.749881e-02	8.567088e-03	2.213390e-02	6.727772e-04	1.556035e-04
66            	1.698314e-02	8.021448e-03	1.869000e-02	6.624608e-04	1.538428e-04
67            	1.605304e-02	7.598065e-03	1.655607e-02	6.338170e-04	1.512621e-04
68            	1.430208e-02	7.283512e-03	1.528343e-02	5.980775e-04	1.513345e-04
69            	1.297596e-02	7.099906e-03	1.478261e-02	5.429854e-04	1.502897e-04
70            	1.187305e-02	6.962575e-03	1.504055e-02	4.952708e-04	1.494932e-04
71            	1.091726e-02	6.792741e-03	1.626060e-02	4.620310e-04	1.475053e-04
72            	1.039387e-02	6.578382e-03	1.887441e-02	4.468619e-04	1.463528e-04
73            	9.787800e-03	6.317514e-03	2.346312e-02	4.361468e-04	1.427439e-04
74            	9.291325e-03	6.024481e-03	3.059127e-02	4.302675e-04	1.413317e-04
