# Force coefficients
# liftDir     : (9.659258e-01 -2.588190e-01 0.000000e+00)
# dragDir     : (2.588190e-01 9.659258e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# magUInf     : 1.562000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	-2.185408e-01	1.331143e+00	-1.605873e-01	-2.988344e-01	1.382471e-01
2             	-2.442950e-01	1.091114e+00	-4.020093e-02	-2.643954e-01	2.241945e-01
3             	-2.543769e-01	1.236399e+00	-1.207687e-01	-3.147612e-01	1.939925e-01
4             	-2.039759e-01	1.439753e+00	-2.245154e-01	-3.162336e-01	9.171817e-02
5             	-1.413369e-01	1.501737e+00	-2.772747e-01	-2.799742e-01	2.699498e-03
6             	-1.301717e-01	1.657184e+00	-3.568655e-01	-3.086044e-01	-4.826103e-02
7             	-1.103434e-01	1.804608e+00	-4.651648e-01	-3.429259e-01	-1.222390e-01
8             	-5.635098e-02	1.747813e+00	-5.329686e-01	-3.228353e-01	-2.101333e-01
9             	-1.106161e-02	1.612770e+00	-5.479270e-01	-2.850251e-01	-2.629019e-01
10            	3.464635e-03	1.560659e+00	-5.527798e-01	-2.729253e-01	-2.798545e-01
11            	7.326695e-03	1.516801e+00	-5.425581e-01	-2.639524e-01	-2.786058e-01
12            	-5.761729e-03	1.500722e+00	-5.265025e-01	-2.690130e-01	-2.574895e-01
13            	-2.785539e-02	1.526953e+00	-5.167905e-01	-2.862507e-01	-2.305399e-01
14            	-4.710387e-02	1.562707e+00	-5.047984e-01	-2.995031e-01	-2.052953e-01
15            	-6.743829e-02	1.609137e+00	-4.934449e-01	-3.141607e-01	-1.792841e-01
16            	-8.841336e-02	1.650986e+00	-4.804680e-01	-3.286474e-01	-1.518207e-01
17            	-1.128195e-01	1.687609e+00	-4.642024e-01	-3.449207e-01	-1.192816e-01
18            	-1.447899e-01	1.720143e+00	-4.455791e-01	-3.675794e-01	-7.799971e-02
19            	-1.820672e-01	1.740707e+00	-4.239940e-01	-3.940642e-01	-2.992985e-02
20            	-2.214467e-01	1.749040e+00	-4.026389e-01	-4.227662e-01	2.012725e-02
21            	-2.600900e-01	1.752400e+00	-3.823968e-01	-4.512884e-01	6.889155e-02
22            	-2.971592e-01	1.737241e+00	-3.622904e-01	-4.783044e-01	1.160140e-01
23            	-3.301540e-01	1.695923e+00	-3.397788e-01	-5.000433e-01	1.602646e-01
24            	-3.569214e-01	1.619642e+00	-3.112721e-01	-5.125575e-01	2.012854e-01
25            	-3.747150e-01	1.511265e+00	-2.769611e-01	-5.131955e-01	2.362345e-01
26            	-3.808847e-01	1.376716e+00	-2.371972e-01	-4.994833e-01	2.622861e-01
27            	-3.668386e-01	1.210642e+00	-1.921747e-01	-4.629260e-01	2.707513e-01
28            	-3.348302e-01	1.021089e+00	-1.419827e-01	-4.058215e-01	2.638388e-01
29            	-2.737918e-01	7.921927e-01	-8.632737e-02	-3.169555e-01	2.306281e-01
30            	-1.941782e-01	5.501012e-01	-3.004249e-02	-2.091994e-01	1.791569e-01
31            	-1.036515e-01	3.129388e-01	2.287731e-02	-9.221284e-02	1.150902e-01
32            	-9.055447e-03	9.595210e-02	6.786521e-02	2.487716e-02	4.298805e-02
33            	7.458520e-02	-7.922192e-02	1.012677e-01	1.252190e-01	-2.395136e-02
