# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.383810e-03
2             	1.894272e-01	1.446064e-02	2.659774e-01	2.229711e-01	2.800533e-03
3             	8.405002e-02	7.072709e-03	1.076816e-01	6.405112e-02	2.452105e-03
4             	1.004478e-01	5.367155e-03	4.692064e-02	2.122369e-02	1.476339e-03
5             	8.454170e-02	4.020568e-03	3.008393e-02	7.408062e-03	1.084144e-03
6             	9.664189e-02	3.336847e-03	1.951111e-02	3.735783e-03	9.550853e-04
7             	1.062789e-01	3.025212e-03	1.617106e-02	2.620163e-03	6.228101e-04
8             	1.176903e-01	2.866237e-03	1.372312e-02	2.129837e-03	4.695674e-04
9             	1.075151e-01	3.020702e-03	1.252763e-02	1.820668e-03	3.598304e-04
10            	1.100554e-01	3.042565e-03	1.129794e-02	1.408016e-03	2.864265e-04
11            	9.051084e-02	3.229507e-03	1.099045e-02	1.167045e-03	2.585150e-04
12            	8.160688e-02	3.209390e-03	1.074862e-02	1.001011e-03	3.047643e-04
13            	8.356150e-02	3.367501e-03	1.053387e-02	8.754358e-04	2.985083e-04
14            	1.009119e-01	3.362050e-03	1.042602e-02	8.391786e-04	3.041833e-04
15            	7.295840e-02	3.392736e-03	1.041832e-02	7.649149e-04	2.753658e-04
16            	5.044469e-02	3.328009e-03	1.054315e-02	7.227775e-04	2.713949e-04
17            	3.534336e-02	3.217926e-03	1.115809e-02	6.835251e-04	2.665420e-04
18            	2.803993e-02	3.118124e-03	1.218347e-02	6.608036e-04	2.599720e-04
19            	2.341575e-02	3.099179e-03	1.412862e-02	6.595473e-04	2.568921e-04
20            	2.025414e-02	3.183975e-03	1.785245e-02	6.733879e-04	2.499728e-04
21            	1.765945e-02	3.355808e-03	2.676750e-02	6.894085e-04	2.611677e-04
22            	1.540742e-02	3.599444e-03	5.585323e-02	7.009174e-04	2.689590e-04
23            	1.429134e-02	3.894089e-03	4.050818e-02	6.909170e-04	2.609496e-04
24            	1.301713e-02	4.257611e-03	2.249572e-02	6.682751e-04	2.515954e-04
25            	1.350512e-02	4.606576e-03	1.632837e-02	6.234201e-04	2.230028e-04
26            	1.402828e-02	5.072014e-03	1.347237e-02	5.616450e-04	1.918232e-04
27            	1.543003e-02	5.718163e-03	1.227014e-02	5.461602e-04	1.758670e-04
28            	1.734080e-02	6.719699e-03	1.217103e-02	5.381118e-04	1.640771e-04
29            	2.175379e-02	7.973033e-03	1.266092e-02	5.207088e-04	1.559104e-04
30            	2.841528e-02	9.391176e-03	1.460349e-02	5.100822e-04	1.506502e-04
31            	4.298714e-02	1.077950e-02	1.758330e-02	5.025213e-04	1.429715e-04
32            	7.543048e-02	1.179292e-02	2.237230e-02	4.936378e-04	1.349255e-04
33            	6.832133e-02	1.238231e-02	3.059895e-02	4.917760e-04	1.310152e-04
34            	6.764800e-02	1.281134e-02	4.554156e-02	4.749832e-04	1.235705e-04
35            	7.176245e-02	1.281166e-02	7.642678e-02	4.612602e-04	1.163074e-04
36            	7.174925e-02	1.246639e-02	1.195681e-01	4.406774e-04	1.075017e-04
37            	7.243455e-02	1.191466e-02	6.679672e-02	4.275156e-04	1.008403e-04
38            	7.227965e-02	1.138832e-02	4.550549e-02	4.059887e-04	9.690252e-05
39            	7.233293e-02	1.100213e-02	3.551801e-02	3.825580e-04	9.413278e-05
40            	7.873499e-02	1.085735e-02	2.996142e-02	3.570469e-04	9.055902e-05
41            	8.077620e-02	1.072474e-02	2.658316e-02	3.314379e-04	8.770193e-05
42            	7.600572e-02	1.039143e-02	2.397488e-02	3.203170e-04	8.481703e-05
43            	7.256683e-02	9.881445e-03	2.186345e-02	3.075353e-04	8.310224e-05
44            	6.719635e-02	9.221427e-03	1.979119e-02	2.990959e-04	8.045486e-05
45            	6.248134e-02	8.526777e-03	1.786491e-02	2.834271e-04	7.807047e-05
46            	5.817435e-02	7.838905e-03	1.616267e-02	2.707659e-04	7.471495e-05
47            	5.396673e-02	7.166863e-03	1.468388e-02	2.659295e-04	7.243525e-05
48            	4.829613e-02	6.626130e-03	1.353234e-02	2.545920e-04	7.045908e-05
49            	4.287746e-02	6.198630e-03	1.265581e-02	2.438297e-04	6.776371e-05
50            	3.761559e-02	5.845905e-03	1.197448e-02	2.310021e-04	6.615598e-05
51            	3.367699e-02	5.564609e-03	1.143797e-02	2.191536e-04	6.451720e-05
52            	3.125859e-02	5.311765e-03	1.102293e-02	2.058891e-04	6.236683e-05
53            	2.946009e-02	5.059508e-03	1.067973e-02	1.966788e-04	6.110698e-05
54            	2.782747e-02	4.826410e-03	1.035243e-02	1.893506e-04	5.936773e-05
55            	2.639650e-02	4.612502e-03	1.001401e-02	1.809375e-04	5.829221e-05
56            	2.510455e-02	4.403257e-03	9.690632e-03	1.733595e-04	5.701177e-05
57            	2.379094e-02	4.192940e-03	9.369639e-03	1.651264e-04	5.556111e-05
58            	2.250039e-02	3.974876e-03	9.084849e-03	1.588039e-04	5.431534e-05
59            	2.121160e-02	3.749960e-03	8.843427e-03	1.519545e-04	5.366617e-05
60            	2.019446e-02	3.528174e-03	8.652411e-03	1.485373e-04	5.194930e-05
61            	1.920088e-02	3.311118e-03	8.530361e-03	1.428210e-04	5.113140e-05
62            	1.823035e-02	3.096796e-03	8.474256e-03	1.397539e-04	4.978553e-05
63            	1.714131e-02	2.873261e-03	8.493575e-03	1.363681e-04	4.903882e-05
64            	1.602474e-02	2.649007e-03	8.598464e-03	1.325094e-04	4.793146e-05
65            	1.482597e-02	2.420495e-03	8.701460e-03	1.294716e-04	4.703003e-05
66            	1.367871e-02	2.188463e-03	8.765316e-03	1.253040e-04	4.543455e-05
67            	1.261868e-02	1.957745e-03	8.775131e-03	1.216408e-04	4.411212e-05
68            	1.147111e-02	1.737670e-03	8.672737e-03	1.177401e-04	4.287005e-05
69            	1.037860e-02	1.540022e-03	8.480764e-03	1.144002e-04	4.143086e-05
70            	9.425941e-03	1.356248e-03	8.179474e-03	1.114141e-04	4.077307e-05
