# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.395409e-03
2             	1.587466e-01	1.435011e-02	2.392143e-01	2.270335e-01	2.764659e-03
3             	8.204549e-02	7.190312e-03	8.978508e-02	6.767386e-02	2.717802e-03
4             	1.191718e-01	5.632966e-03	4.029089e-02	2.427894e-02	1.562519e-03
5             	9.643239e-02	4.365706e-03	2.695461e-02	7.714344e-03	1.204168e-03
6             	1.077714e-01	3.602207e-03	1.761416e-02	3.879095e-03	1.118470e-03
7             	1.113328e-01	3.376757e-03	1.445035e-02	2.545829e-03	7.747113e-04
8             	1.257382e-01	3.148330e-03	1.211200e-02	2.063204e-03	4.867630e-04
9             	1.184599e-01	3.328182e-03	1.096952e-02	1.780717e-03	3.534850e-04
10            	1.163610e-01	3.345076e-03	1.011472e-02	1.445662e-03	3.173101e-04
11            	1.049793e-01	3.571283e-03	9.798815e-03	1.216715e-03	2.873705e-04
12            	1.080294e-01	3.555975e-03	9.747129e-03	1.063507e-03	3.249660e-04
13            	1.049134e-01	3.645071e-03	9.528017e-03	9.405005e-04	3.594345e-04
14            	7.770197e-02	3.660673e-03	9.578610e-03	8.903577e-04	3.280522e-04
15            	5.429503e-02	3.646338e-03	9.616780e-03	8.484716e-04	3.166913e-04
16            	3.954907e-02	3.590539e-03	9.954404e-03	8.101317e-04	2.992451e-04
17            	3.042969e-02	3.501230e-03	1.066382e-02	7.687758e-04	2.879966e-04
18            	2.550692e-02	3.435600e-03	1.197232e-02	7.658323e-04	2.719857e-04
19            	2.190685e-02	3.427229e-03	1.379830e-02	7.675428e-04	2.678269e-04
20            	1.832934e-02	3.577515e-03	1.707099e-02	7.643399e-04	2.606680e-04
21            	1.648649e-02	3.625903e-03	2.342811e-02	7.706231e-04	2.681125e-04
22            	1.489113e-02	3.778174e-03	3.957634e-02	7.731079e-04	2.742950e-04
23            	1.316932e-02	3.997159e-03	6.540337e-02	7.457085e-04	2.729738e-04
24            	1.174365e-02	4.238763e-03	3.010377e-02	7.216146e-04	2.740563e-04
25            	1.143408e-02	4.557787e-03	2.007713e-02	7.015299e-04	2.537653e-04
26            	1.184750e-02	4.894238e-03	1.564979e-02	6.574063e-04	2.242305e-04
27            	1.250515e-02	5.360705e-03	1.347909e-02	6.130990e-04	1.983834e-04
28            	1.436034e-02	5.977455e-03	1.263279e-02	6.183929e-04	1.861974e-04
29            	1.613940e-02	7.004060e-03	1.293760e-02	6.253669e-04	1.831052e-04
30            	2.011235e-02	8.303817e-03	1.422066e-02	6.377313e-04	1.786996e-04
31            	2.488393e-02	9.749566e-03	1.673189e-02	6.454883e-04	1.705457e-04
32            	3.414789e-02	1.117149e-02	2.096912e-02	6.415533e-04	1.634053e-04
33            	5.332893e-02	1.225470e-02	2.786607e-02	6.375494e-04	1.561583e-04
34            	8.087025e-02	1.277946e-02	4.016488e-02	6.284290e-04	1.441168e-04
35            	8.552481e-02	1.303407e-02	6.543172e-02	6.165265e-04	1.388021e-04
36            	8.221735e-02	1.280009e-02	1.208359e-01	6.063444e-04	1.374086e-04
37            	7.463806e-02	1.222643e-02	8.196666e-02	6.011581e-04	1.289711e-04
38            	7.309259e-02	1.152492e-02	5.133369e-02	5.688950e-04	1.243935e-04
39            	6.652569e-02	1.085243e-02	3.949531e-02	5.350319e-04	1.195435e-04
40            	5.316726e-02	1.033093e-02	3.425032e-02	4.883726e-04	1.134358e-04
41            	4.482248e-02	1.006226e-02	3.281123e-02	4.480765e-04	1.105593e-04
42            	3.786314e-02	9.764367e-03	3.414430e-02	4.202523e-04	1.093465e-04
43            	3.349458e-02	9.348843e-03	3.847799e-02	4.154637e-04	1.104815e-04
44            	3.176481e-02	8.905552e-03	4.576291e-02	4.144240e-04	1.112277e-04
45            	3.005194e-02	8.548367e-03	5.304666e-02	4.205030e-04	1.083638e-04
